"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:32.0","3:32.0","1.00","3:32","136","152","4","11","170","1.66","40","3:23","179","3:31","3:31"
"2","3:44.5","7:16.5","1.00","3:45","148","151","22","5","173","1.55","50","3:23","177","3:44.5","3:44"
"3","3:33.9","10:50","1.00","3:34","151","154","4","14","170","1.65","48","3:26","175","3:33.9","3:34"
"4","3:33.0","14:23","1.00","3:33","151","155","--","9","171","1.65","47","3:25","175","3:33.0","3:33"
"5","3:35.1","17:58","1.00","3:35","153","157","21","--","176","1.58","48","3:20","183","3:34","3:34"
"6","3:30.4","21:29","1.00","3:30","160","178","--","10","172","1.66","50","3:18","177","3:30.4","3:30"
"7","3:29.0","24:58","1.00","3:29","168","172","3","12","173","1.66","52","3:24","177","3:28","3:28"
"8","3:30.0","28:28","1.00","3:30","169","173","22","5","178","1.60","53","3:20","183","3:30.0","3:30"
"9","3:26.5","31:54","1.00","3:26","168","172","5","14","174","1.67","51","3:15","179","3:26","3:26"
"10","3:26.9","35:21","1.00","3:27","169","173","--","8","175","1.66","52","3:17","177","3:26.9","3:27"
"11","0:04.3","35:26","0.02","3:18","169","169","--","--","177","1.71","1","3:28","177","0:04","3:05"
"Podsumowanie","35:26","35:26","10.02","3:32","157","178","80","88","173","1.63","492","3:15","183","35:22","3:32"
