"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:05.7","3:05.7","1.05","2:57","128","142","17","18","175","1.93","33","2:53","182","3:05.7","2:57"
"2","3:04.6","6:10.4","1.05","2:56","134","144","27","18","177","1.92","36","2:48","180","3:04.6","2:56"
"3","3:05.1","9:15.5","1.05","2:56","137","143","18","27","178","1.91","37","2:54","182","3:05","2:56"
"4","3:58.9","13:14","0.13","31:09","113","140","6","--","122","0.26","28","2:55","180","2:37","20:29"
"5","3:00.8","16:15","1.04","2:55","128","147","19","16","179","1.92","29","2:49","184","3:00.8","2:55"
"6","3:04.5","19:20","1.02","3:00","121","126","17","26","180","1.85","23","2:54","184","3:04","3:00"
"7","6:00.3","25:20","0.17","36:09","114","124","6","--","122","0.23","36","2:57","184","2:10","13:03"
"8","2:10.6","27:31","0.83","2:37","152","176","9","16","187","2.05","29","2:23","193","2:10.6","2:37"
"9","4:08.4","31:39","0.10","41:34","143","164","8","--","124","0.19","50","2:19","192","0:53","8:51"
"Podsumowanie","31:39","31:39","6.43","4:55","128","176","128","121","169","1.17","301","2:19","193","23:11","3:36"
