"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","17:19","17:19","4.03","4:18","138","153","8","7","162","1.44","205","3:59","168","17:17","4:18"
"2","0:43.7","18:02","0.20","3:44","131","142","--","--","174","1.54","6","3:09","185","0:43","3:40"
"3","1:15.9","19:18","0.24","5:19","149","166","13","14","157","1.20","16","3:37","175","1:15.9","5:19"
"4","0:46.0","20:04","0.21","3:38","146","149","13","--","175","1.57","9","3:30","178","0:46.0","3:38"
"5","1:17.1","21:21","0.22","5:44","149","152","--","14","156","1.12","16","3:46","179","1:17","5:44"
"6","0:44.1","22:05","0.20","3:36","147","149","13","--","177","1.57","9","3:13","184","0:44","3:35"
"7","1:12.9","23:18","0.23","5:15","149","160","--","13","156","1.22","15","3:33","179","1:12.9","5:15"
"8","0:42.8","24:01","0.20","3:29","160","165","--","--","178","1.62","10","3:12","183","0:42.8","3:29"
"9","1:15.2","25:16","0.23","5:22","155","161","14","13","156","1.20","17","3:25","181","1:15","5:21"
"10","0:41.7","25:58","0.20","3:25","150","152","13","--","179","1.64","9","3:10","185","0:41.7","3:25"
"11","1:13.9","27:12","0.24","5:09","151","154","--","14","156","1.24","16","3:22","183","1:13.9","5:09"
"12","0:41.9","27:54","0.21","3:23","154","157","13","--","179","1.66","9","3:08","185","0:41.9","3:23"
"13","1:13.2","29:07","0.23","5:13","156","158","--","14","154","1.24","17","3:21","185","1:13","5:12"
"14","0:42.6","29:49","0.20","3:30","158","162","14","--","177","1.62","10","3:09","185","0:42","3:27"
"15","1:12.5","31:02","0.24","5:07","155","160","--","13","156","1.25","16","3:27","181","1:12.5","5:07"
"16","0:41.6","31:43","0.20","3:25","160","164","--","--","180","1.62","9","3:07","187","0:41","3:22"
"17","14:32","46:16","3.38","4:18","156","171","22","22","162","1.43","196","3:20","187","14:31","4:18"
"Podsumowanie","46:16","46:16","10.67","4:20","148","171","123","123","163","1.41","585","3:07","187","46:10","4:20"
