"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:26.5","4:26.5","1.00","4:27","154","163","--","--","155","1.46","56","3:33","164","4:26","4:26"
"2","4:33.7","9:00.2","1.00","4:34","164","171","3","7","153","1.43","62","4:01","162","4:33.7","4:34"
"3","1:29.8","10:30","0.32","4:38","166","170","5","--","154","1.40","20","4:19","158","1:29","4:35"
"Podsumowanie","10:30","10:30","2.32","4:31","160","171","8","7","154","1.44","138","3:33","164","10:29","4:31"
