"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:42.2","0:42.2","0.20","3:29","144","161","0","15","178","1.61","8","3:08","190","0:42","3:27"
"2","1:21.6","2:03.8","0.22","6:05","144","155","2","7","156","1.05","18","3:10","187","1:21","6:02"
"3","0:42.9","2:46.7","0.20","3:33","144","148","7","2","180","1.56","9","3:11","188","0:42.9","3:33"
"4","1:20.5","4:07.2","0.24","5:34","146","147","7","7","157","1.15","17","3:11","182","1:20.5","5:34"
"5","0:36.8","4:44.1","0.17","3:33","141","145","2","0","181","1.55","7","3:11","190","0:36.8","3:33"
"6","1:15.4","5:59.5","0.21","5:59","147","150","0","7","156","1.07","16","3:14","184","1:15","5:57"
"7","0:41.2","6:40.7","0.20","3:21","148","149","5","0","183","1.63","9","3:05","193","0:41","3:20"
"8","1:24.8","8:05.5","0.24","5:58","152","166","11","14","156","1.08","19","3:04","188","1:24.8","5:58"
"9","0:41.5","8:46.9","0.21","3:21","154","161","10","5","184","1.62","10","3:04","192","0:41.5","3:21"
"10","1:11.3","9:58.3","0.21","5:36","156","170","9","13","159","1.13","17","3:02","190","1:11","5:35"
"11","1:12.0","11:10","0.21","5:49","151","156","3","3","152","1.13","16","5:15","157","1:11","5:44"
"12","0:40.9","11:51","0.21","3:14","148","153","6","0","186","1.67","8","3:03","197","0:40.9","3:14"
"13","1:22.6","13:14","0.24","5:45","155","163","0","9","156","1.12","19","3:03","176","1:22.6","5:45"
"14","0:40.4","13:54","0.20","3:17","159","165","5","0","185","1.64","9","2:53","197","0:40","3:15"
"15","0:11.1","14:05","0.02","7:55","160","161","0","0","178","0.71","2","2:58","192","0:06","4:16"
"Podsumowanie","14:05","14:05","3.00","4:42","150","170","67","82","165","1.27","184","2:53","197","13:57","4:39"
