"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:45","0:45","0.22","3:29","137","162","9","--","178","1.61","8","3:13","187","0:45","3:29"
"2","0:45","1:30","0.13","5:41","154","164","5","--","155","1.13","11","3:21","184","0:45","5:41"
"3","0:45","2:15","0.24","3:08","160","165","--","9","172","1.85","11","3:16","180","0:45","3:08"
"4","0:45","3:00","0.17","4:26","157","159","--","8","161","1.40","11","3:16","180","0:45","4:26"
"5","0:45","3:45","0.24","3:07","160","164","--","--","179","1.79","11","3:14","184","0:45","3:07"
"6","0:45","4:30","0.15","4:55","160","162","--","--","160","1.27","11","3:14","180","0:45","4:55"
"7","0:45","5:15","0.20","3:45","166","173","7","--","180","1.48","11","3:35","186","0:45","3:45"
"8","0:45","6:00","0.13","5:55","157","166","13","--","159","1.06","11","3:37","175","0:45","5:55"
"9","0:45","6:45","0.26","2:55","159","166","--","8","178","1.93","11","3:13","186","0:45","2:55"
"10","0:45","7:30","0.13","5:39","163","168","--","10","160","1.11","11","3:10","178","0:45","5:39"
"11","0:45","8:15","0.25","3:04","172","175","13","--","181","1.81","12","3:17","187","0:45","3:04"
"12","0:45","9:00","0.15","4:58","163","174","--","7","157","1.29","11","3:15","178","0:45","4:58"
"13","0:45","9:45","0.26","2:56","172","175","--","7","178","1.91","12","3:08","185","0:44","2:52"
"14","0:45","10:30","0.14","5:25","166","174","--","--","160","1.15","11","3:08","185","0:45","5:25"
"15","0:45","11:15","0.25","2:57","172","177","--","--","182","1.87","12","3:10","191","0:45","2:57"
"16","0:45","12:00","0.10","7:23","168","175","8","--","164","0.82","11","3:10","186","0:44","7:13"
"17","0:45","12:45","0.23","3:16","176","179","12","--","183","1.67","12","3:15","189","0:45","3:16"
"18","0:45","13:30","0.16","4:45","166","175","--","7","162","1.30","11","3:25","175","0:44","4:39"
"19","0:45","14:15","0.25","2:58","175","185","--","12","180","1.87","12","3:05","187","0:45","2:58"
"20","0:45","15:00","0.12","6:04","171","179","13","--","166","1.00","12","3:12","179","0:45","6:04"
"21","0:45","15:45","0.26","2:56","175","179","--","--","180","1.89","12","3:03","183","0:45","2:56"
"22","0:45","16:30","0.15","4:54","166","173","--","6","160","1.28","11","3:07","183","0:44","4:47"
"23","0:45","17:15","0.24","3:09","175","179","--","6","183","1.74","12","2:59","189","0:45","3:09"
"24","0:45","18:00","0.16","4:50","166","173","--","--","162","1.27","11","3:11","183","0:45","4:50"
"25","0:45","18:45","0.21","3:31","171","173","10","--","184","1.55","11","3:03","189","0:45","3:31"
"26","0:45","19:30","0.13","5:45","167","170","--","--","167","1.05","11","3:28","186","0:45","5:45"
"27","0:45","20:15","0.25","3:04","171","175","9","--","182","1.80","11","3:09","187","0:45","3:04"
"28","0:45","21:00","0.14","5:21","166","176","--","8","160","1.17","11","3:17","220","0:45","5:21"
"29","0:45","21:45","0.25","3:01","170","176","15","12","188","1.77","11","3:06","194","0:45","3:01"
"30","0:05.4","21:50","0.02","3:49","173","173","--","--","191","1.37","1","3:08","191","0:05.4","3:49"
"Podsumowanie","21:50","21:50","5.58","3:55","166","185","114","100","171","1.48","325","2:59","220","21:46","3:54"
