"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","5:24.3","5:24.3","1.00","5:24","161","185","18","--","159","1.17","76","5:08","165","5:24","5:24"
"2","4:53.4","10:18","1.00","4:53","163","169","--","18","158","1.29","70","4:18","162","4:53","4:53"
"3","4:24.1","14:42","1.00","4:24","160","166","--","12","160","1.42","62","3:59","165","4:24.1","4:24"
"4","3:48.6","18:30","0.88","4:19","161","167","--","1","162","1.42","53","4:01","175","3:47","4:18"
"Podsumowanie","18:30","18:30","3.88","4:46","161","185","18","31","160","1.31","261","3:59","175","18:28","4:45"
