"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","2:12.4","2:12.4","0.45","4:56","117","137","11","11","167","1.21","18","2:59","201","2:12","4:55"
"2","0:46.1","2:58.5","0.20","3:47","129","145","--","--","182","1.45","8","3:16","194","0:46","3:47"
"3","1:25.6","4:24.1","0.23","6:15","141","146","11","11","153","1.04","18","3:18","194","1:25.6","6:15"
"4","0:45.2","5:09.3","0.20","3:42","137","139","--","--","183","1.47","9","3:14","201","0:45","3:41"
"5","1:23.0","6:32.4","0.22","6:14","139","143","8","8","156","1.03","16","3:21","190","1:23","6:13"
"6","0:44.8","7:17.2","0.21","3:33","134","138","--","--","181","1.55","8","3:03","196","0:44.8","3:33"
"7","1:25.4","8:42.6","0.23","6:14","144","158","11","10","155","1.03","18","3:09","190","1:25","6:12"
"8","0:45.7","9:28.3","0.21","3:39","133","138","--","--","184","1.49","8","3:08","192","0:45.7","3:39"
"9","1:22.8","10:51","0.22","6:14","136","140","10","11","157","1.02","15","3:18","188","1:22.8","6:14"
"10","0:42.4","11:33","0.20","3:27","146","166","11","--","188","1.54","8","3:09","196","0:42","3:25"
"11","1:22.9","12:56","0.23","6:03","149","160","--","11","156","1.06","18","3:10","196","1:22.9","6:03"
"12","0:44.1","13:40","0.21","3:34","140","143","--","--","185","1.52","8","3:16","196","0:44","3:33"
"13","1:22.8","15:03","0.23","6:06","142","148","11","11","156","1.05","16","3:16","195","1:22.8","6:06"
"14","0:42.7","15:46","0.20","3:35","142","144","--","--","185","1.51","8","3:14","194","0:42.7","3:35"
"15","1:22.9","17:09","0.22","6:09","149","159","11","10","154","1.06","18","3:16","188","1:22.9","6:09"
"16","0:43.1","17:52","0.19","3:45","145","149","--","--","186","1.43","8","3:16","200","0:43","3:44"
"17","1:23.7","19:16","0.22","6:18","153","162","8","9","149","1.07","19","3:21","194","1:23","6:14"
"18","0:41.9","19:58","0.20","3:32","147","150","--","--","188","1.50","8","3:03","198","0:41.9","3:32"
"19","0:09.3","20:07","0.02","6:32","147","149","11","--","190","0.81","2","3:10","190","0:07","4:55"
"Podsumowanie","20:07","20:07","4.10","4:55","140","166","103","93","166","1.21","231","2:59","201","20:02","4:54"
