"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:33.8","3:33.8","1.00","3:34","148","163","--","7","169","1.66","44","3:26","174","3:33.8","3:34"
"2","3:54.6","7:28.4","1.00","3:55","157","162","22","6","168","1.52","53","3:40","174","3:54","3:54"
"3","3:43.7","11:12","1.00","3:44","158","161","3","10","168","1.60","51","3:37","174","3:43.7","3:44"
"4","3:40.3","14:52","1.00","3:40","161","174","2","12","168","1.63","51","3:21","172","3:40","3:40"
"5","3:49.1","18:41","1.00","3:49","158","164","22","5","171","1.53","52","3:36","177","3:49","3:49"
"6","3:36.6","22:18","1.00","3:37","160","163","4","14","170","1.63","49","3:20","173","3:36.6","3:37"
"7","3:35.6","25:54","1.00","3:36","160","164","3","10","170","1.64","49","3:26","173","3:35.6","3:36"
"8","3:43.9","29:38","1.00","3:44","159","165","21","5","173","1.55","49","3:31","177","3:43.9","3:44"
"9","0:04.3","29:42","0.02","3:55","159","159","--","--","175","1.46","0","3:54","175","0:04","3:37"
"Podsumowanie","29:42","29:42","8.02","3:42","158","174","77","68","170","1.59","398","3:20","177","29:41","3:42"
