"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:29.7","4:29.7","1.00","4:30","124","144","--","3","163","1.36","44","4:09","168","4:29.7","4:30"
"2","4:14.9","8:44.6","1.00","4:15","131","135","--","6","164","1.43","45","4:06","171","4:14.9","4:15"
"3","4:24.7","13:09","1.00","4:25","136","146","4","--","165","1.38","49","4:05","169","4:24","4:24"
"4","4:26.5","17:36","1.00","4:26","147","161","24","--","164","1.37","57","4:18","170","4:26","4:26"
"5","4:26.7","22:02","1.00","4:27","145","157","5","10","164","1.37","53","4:15","170","4:26.7","4:27"
"6","4:16.2","26:19","1.00","4:16","140","147","--","--","163","1.43","46","4:00","168","4:14","4:14"
"7","4:14.7","30:33","1.00","4:15","148","158","10","4","164","1.43","51","3:50","170","4:14.7","4:15"
"8","4:01.9","34:35","1.00","4:02","141","152","--","24","162","1.54","41","3:35","165","4:01.9","4:02"
"9","4:14.6","38:50","1.00","4:15","146","155","6","6","166","1.42","47","4:09","170","4:14.6","4:15"
"10","3:56.7","42:46","0.96","4:06","148","154","--","--","165","1.48","46","3:53","172","3:56","4:05"
"Podsumowanie","42:46","42:46","9.96","4:18","140","161","50","53","164","1.42","479","3:35","172","42:42","4:17"
