"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:34.8","4:34.8","1.00","4:35","141","155","157","1.39","57","4:23","164","4:34.8","4:35"
"2","4:04.7","8:39.4","1.00","4:05","150","153","159","1.54","57","4:00","164","4:04.7","4:05"
"3","4:00.8","12:40","1.00","4:01","157","170","160","1.56","58","3:53","162","4:00","4:00"
"4","0:01.4","12:42","0.01","4:28","168","168","161","1.39","0","3:55","162","0:01.4","4:29"
"Podsumowanie","12:42","12:42","3.01","4:13","149","170","159","1.49","172","3:53","164","12:41","4:13"
