"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:34.8","3:34.8","1.02","3:30","114","120","2","3","165","1.73","28","3:20","173","3:34.8","3:30"
"2","3:35.3","7:10.1","1.03","3:29","120","125","--","--","165","1.73","31","3:25","169","3:35","3:29"
"3","3:33.3","10:43","1.03","3:27","127","131","--","--","166","1.74","34","3:25","169","3:33.3","3:27"
"4","3:29.3","14:13","1.03","3:24","127","129","3","2","168","1.75","32","3:23","170","3:29","3:23"
"5","3:31.3","17:44","1.03","3:25","124","128","--","3","168","1.74","29","3:21","170","3:31","3:25"
"6","3:27.6","21:12","1.04","3:19","128","131","3","--","170","1.78","30","3:17","172","3:27.6","3:19"
"7","3:31.9","24:44","1.04","3:24","128","134","3","2","169","1.74","31","3:18","171","3:31.9","3:24"
"8","3:27.7","28:11","1.03","3:22","130","133","1","3","169","1.75","30","3:20","172","3:27","3:22"
"9","0:03.7","28:15","0.02","2:59","132","132","--","--","169","1.99","0","3:20","170","0:03.7","2:59"
"Podsumowanie","28:15","28:15","8.27","3:25","125","134","11","13","168","1.75","245","3:17","173","28:13","3:25"
