"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:30.8","4:30.8","1.00","4:31","141","151","--","158","1.41","56","4:15","182","4:30.8","4:31"
"2","4:27.9","8:58.7","1.00","4:28","150","156","1","154","1.45","62","4:21","160","4:27.9","4:28"
"3","4:29.6","13:28","1.00","4:30","151","161","--","154","1.44","62","4:20","156","4:29","4:29"
"4","1:38.0","15:06","0.37","4:24","148","153","--","154","1.47","21","4:22","158","1:38.0","4:24"
"Podsumowanie","15:06","15:06","3.37","4:29","147","161","1","155","1.44","201","4:15","182","15:06","4:29"
