"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:07.3","4:07.3","1.00","4:07","140","162","4","172","1.41","50","2:59","192","3:57","3:57"
"2","0:32.0","4:39.4","0.19","2:52","148","150","--","189","1.85","7","2:48","191","0:31","2:46"
"Podsumowanie","4:39.4","4:39.4","1.19","3:55","141","162","4","174","1.46","57","2:48","192","4:28","3:46"
