"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:22.8","4:22.8","1.00","4:23","126","150","--","3","157","1.45","40","4:06","176","4:22","4:22"
"2","4:41.6","9:04.4","1.00","4:42","141","147","--","--","156","1.37","53","4:06","158","4:41.6","4:42"
"3","4:30.7","13:35","1.00","4:31","146","164","--","--","156","1.42","52","4:27","160","4:30.7","4:31"
"4","4:35.8","18:11","1.00","4:36","145","152","--","--","156","1.40","51","4:27","162","4:34","4:34"
"5","4:25.9","22:37","1.00","4:26","147","161","--","6","157","1.44","50","4:16","160","4:25.9","4:26"
"6","4:28.1","27:05","1.00","4:28","146","157","9","9","157","1.43","48","4:19","160","4:28","4:28"
"7","4:22.3","31:27","1.00","4:22","133","148","8","--","158","1.44","34","3:24","173","4:22","4:22"
"8","4:13.6","35:41","1.00","4:14","149","156","6","10","159","1.49","46","4:02","163","4:13","4:13"
"9","4:16.9","39:58","1.00","4:17","156","164","--","--","161","1.45","54","4:14","165","4:16.9","4:17"
"10","4:11.1","44:09","1.00","4:11","155","162","--","--","162","1.48","51","4:04","165","4:11","4:11"
"11","4:14.3","48:23","1.00","4:14","158","163","3","--","161","1.46","53","4:04","172","4:14","4:14"
"12","4:01.3","52:24","1.00","4:01","159","165","3","--","162","1.53","51","3:45","169","4:01.3","4:01"
"13","1:03.7","53:28","0.28","3:44","166","170","--","--","168","1.59","14","3:25","174","1:03","3:41"
"Podsumowanie","53:28","53:28","12.28","4:21","147","170","30","28","159","1.45","597","3:24","176","53:23","4:21"
