"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:48.9","4:48.9","1.00","4:49","131","148","12","--","160","1.30","51","4:19","166","4:48.9","4:49"
"2","4:26.4","9:15.2","1.00","4:26","139","142","13","--","162","1.39","51","4:18","165","4:26","4:26"
"3","4:23.9","13:39","1.00","4:24","141","155","17","--","164","1.38","51","4:12","167","4:23.9","4:24"
"4","4:18.9","17:58","1.00","4:19","143","157","--","--","163","1.42","50","4:11","168","4:18.9","4:19"
"5","4:10.4","22:08","1.00","4:10","148","156","--","18","162","1.48","51","3:54","168","4:10.4","4:10"
"6","4:41.2","26:50","1.00","4:41","150","157","24","--","165","1.30","59","4:09","170","4:41","4:41"
"7","4:37.9","31:27","1.00","4:38","158","171","9","22","160","1.35","64","4:25","172","4:37.9","4:38"
"8","4:27.8","35:55","1.00","4:28","158","165","6","16","161","1.39","61","3:57","166","4:27.8","4:28"
"9","4:23.5","40:19","1.00","4:24","157","171","--","9","164","1.39","58","4:03","168","4:23","4:23"
"10","4:20.3","44:39","1.00","4:20","164","176","2","4","164","1.40","62","4:14","168","4:20.3","4:20"
"11","4:21.8","49:01","1.00","4:22","165","173","--","2","166","1.38","63","4:09","172","4:21","4:21"
"12","3:30.8","52:32","0.85","4:09","171","187","--","--","167","1.44","53","3:53","172","3:30.8","4:09"
"Podsumowanie","52:32","52:32","11.85","4:26","152","187","83","71","163","1.38","674","3:53","172","52:30","4:26"
