"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:45.0","3:45.0","1.00","3:45","134","157","4","11","172","1.55","42","3:30","178","3:45","3:45"
"2","2:36.2","6:21.2","0.73","3:33","139","145","--","--","175","1.61","31","3:26","180","2:36","3:33"
"3","3:36.6","9:57.8","1.00","3:37","148","171","6","7","174","1.59","47","3:25","180","3:36","3:36"
"4","2:38.1","12:36","0.74","3:33","152","159","2","--","174","1.62","36","3:27","178","2:38","3:32"
"5","3:32.6","16:09","1.00","3:33","154","158","7","3","175","1.61","50","3:24","180","3:32.6","3:33"
"6","3:37.2","19:46","1.00","3:37","154","158","--","4","174","1.59","49","3:31","176","3:37","3:37"
"7","3:45.5","23:31","1.00","3:46","159","166","6","5","172","1.55","53","3:37","176","3:45.5","3:46"
"8","3:49.4","27:21","1.00","3:49","164","171","6","9","170","1.54","56","3:34","176","3:49","3:49"
"9","3:50.2","31:11","1.00","3:50","162","171","6","4","170","1.53","56","3:38","176","3:50","3:50"
"10","3:58.7","35:10","1.00","3:59","162","172","--","--","169","1.49","57","3:40","172","3:58.7","3:59"
"11","4:03.3","39:13","1.00","4:03","162","168","--","--","169","1.46","58","3:26","178","4:03.3","4:03"
"12","0:03.1","39:16","0.01","3:34","159","159","--","--","159","1.77","0","4:36","160","0:03","3:30"
"Podsumowanie","39:16","39:16","10.49","3:45","154","172","36","43","172","1.55","535","3:24","180","39:14","3:44"
