"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:57.3","4:57.3","1.00","4:57","151","166","--","7","157","1.28","69","4:23","162","4:57.3","4:57"
"2","4:18.5","9:15.8","1.00","4:19","158","161","6","7","162","1.43","64","4:01","167","4:18.5","4:19"
"3","1:14.0","10:30","0.29","4:13","159","162","7","--","163","1.45","18","3:59","167","1:14.0","4:13"
"Podsumowanie","10:30","10:30","2.29","4:35","155","166","12","14","160","1.37","151","3:59","167","10:30","4:35"
