"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:37.5","4:37.5","1.00","4:37","144","152","--","--","161","1.34","60","4:03","169","4:37","4:37"
"2","4:37.0","9:14.5","1.00","4:37","153","156","13","--","162","1.34","66","4:23","169","4:37.0","4:37"
"3","4:52.9","14:07","1.00","4:53","155","165","17","--","162","1.27","70","4:24","167","4:52.9","4:53"
"4","4:35.6","18:43","1.00","4:36","153","161","--","17","161","1.36","64","4:19","172","4:35.6","4:36"
"5","4:26.8","23:10","1.00","4:27","157","178","--","--","161","1.40","64","4:10","167","4:26.8","4:27"
"6","4:27.9","27:38","1.00","4:28","160","170","11","--","162","1.38","65","3:53","170","4:27","4:27"
"7","4:48.9","32:27","1.00","4:49","147","164","14","20","159","1.31","55","4:35","171","4:48.9","4:49"
"8","4:30.4","36:57","1.00","4:30","149","160","--","14","160","1.39","53","4:21","165","4:30","4:30"
"9","4:31.3","41:28","1.00","4:31","161","179","12","4","162","1.37","65","4:05","165","4:31","4:31"
"10","4:24.9","45:53","1.00","4:25","159","166","15","13","161","1.41","62","4:16","167","4:24.9","4:25"
"11","4:25.4","50:19","1.00","4:25","155","166","--","8","160","1.41","56","4:10","167","4:25.4","4:25"
"12","4:25.0","54:44","1.00","4:25","152","162","--","5","163","1.39","52","4:11","168","4:25","4:25"
"13","4:31.3","59:15","1.00","4:31","154","161","--","--","163","1.36","54","4:17","170","4:30","4:30"
"14","4:13.8","1:03:29","1.00","4:14","157","160","2","4","163","1.45","55","4:04","168","4:13","4:13"
"15","3:36.4","1:07:05","0.89","4:03","154","161","--","--","165","1.49","43","3:39","168","3:36.4","4:03"
"Podsumowanie","1:07:05","1:07:05","14.89","4:30","154","179","86","85","162","1.37","884","3:39","172","1:07:01","4:30"
