"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:04.0","4:04.0","1.00","4:04","144","164","--","168","1.47","51","3:00","186","4:04.0","4:04"
"2","4:29.0","8:32.9","1.00","4:29","138","160","--","161","1.39","50","3:06","183","4:29.0","4:29"
"3","2:24.2","10:57","0.50","4:50","141","146","2","158","1.31","28","4:34","163","2:24","4:49"
"Podsumowanie","10:57","10:57","2.50","4:23","141","164","2","163","1.40","129","3:00","186","10:57","4:23"
