"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:37.8","4:37.8","1.00","4:38","129","135","--","3","161","1.34","49","4:18","164","4:37.8","4:38"
"2","4:27.8","9:05.6","1.00","4:28","138","153","--","--","162","1.39","52","3:48","170","4:27.8","4:28"
"3","4:08.0","13:14","1.00","4:08","141","145","2","--","166","1.46","50","3:12","183","4:07","4:07"
"4","4:11.6","17:25","1.00","4:12","139","142","--","--","165","1.44","47","3:00","189","4:11","4:11"
"5","4:14.6","21:40","1.00","4:15","143","154","--","1","165","1.43","50","2:52","191","4:14.6","4:15"
"6","4:16.0","25:56","1.00","4:16","143","154","--","--","165","1.42","50","2:55","190","4:16.0","4:16"
"7","4:18.3","30:14","1.00","4:18","152","158","--","1","166","1.40","58","2:55","195","4:18.3","4:18"
"8","4:15.4","34:29","1.00","4:15","152","157","--","--","164","1.43","56","2:36","201","4:15","4:15"
"9","0:40.6","35:10","0.22","3:07","151","154","3","--","181","1.77","8","2:39","199","0:40.6","3:07"
"Podsumowanie","35:10","35:10","8.22","4:17","142","158","5","5","164","1.42","420","2:36","201","35:08","4:17"
