"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","6:25.4","6:25.4","2.00","3:12","144","153","22","179","1.74","85","1:35","183","6:25","3:12"
"2","0:05.5","6:30.9","0.02","3:45","151","152","--","181","1.47","1","3:10","181","0:05.5","3:45"
"Podsumowanie","6:30.9","6:30.9","2.03","3:13","144","153","22","179","1.74","86","1:35","183","6:30.5","3:12"
