"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","1:54.4","1:54.4","0.34","5:32","132","155","8","8","154","1.18","21","2:58","192","1:42","4:56"
"2","1:55.5","3:49.9","0.37","5:15","142","150","10","9","160","1.19","25","2:55","194","1:55","5:14"
"3","1:56.2","5:46.1","0.35","5:33","142","155","8","9","158","1.14","25","2:51","192","1:44","4:58"
"4","2:08.3","7:54.4","0.36","5:52","133","145","10","10","155","1.10","23","2:54","190","1:57","5:21"
"5","2:00.4","9:54.8","0.38","5:21","134","140","10","11","158","1.18","22","2:49","192","2:00","5:20"
"6","1:56.4","11:51","0.36","5:26","138","143","10","10","153","1.20","23","2:55","190","1:53","5:16"
"7","1:56.9","13:48","0.37","5:14","140","154","10","10","162","1.18","23","2:50","187","1:56.9","5:14"
"8","2:00.4","15:49","0.39","5:09","141","153","10","10","153","1.27","24","2:47","192","2:00","5:08"
"9","1:55.0","17:44","0.36","5:15","142","155","8","8","156","1.22","23","2:54","192","1:46","4:51"
"10","1:06.1","18:50","0.21","5:08","133","143","10","--","158","1.24","11","2:46","192","1:01","4:44"
"Podsumowanie","18:50","18:50","3.50","5:23","138","155","96","85","157","1.19","220","2:46","194","17:55","5:07"
