"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:38.4","3:38.4","1.00","3:38","147","169","--","--","166","1.65","48","3:20","174","3:38","3:38"
"2","3:38.4","7:16.8","1.00","3:38","153","158","5","3","170","1.62","53","3:21","174","3:38.4","3:38"
"3","3:47.9","11:05","1.00","3:48","154","158","15","--","169","1.56","56","3:41","174","3:47.9","3:48"
"4","3:39.9","14:45","1.00","3:40","155","159","3","14","165","1.65","53","3:33","172","3:39.9","3:40"
"5","3:45.5","18:30","1.00","3:46","161","175","6","6","167","1.59","57","3:37","174","3:45","3:45"
"6","3:40.6","22:11","1.00","3:41","172","176","14","--","172","1.58","60","3:36","178","3:40","3:40"
"7","3:38.2","25:49","1.00","3:38","176","193","--","12","170","1.62","60","3:35","174","3:38","3:38"
"8","3:40.9","29:30","1.00","3:41","175","178","--","11","169","1.61","60","3:34","172","3:40.9","3:41"
"9","3:41.0","33:11","1.00","3:41","176","181","1","--","172","1.58","61","3:38","176","3:41","3:41"
"10","3:32.6","36:43","1.00","3:33","176","179","--","--","174","1.62","58","3:15","180","3:32.6","3:33"
"11","0:03.7","36:47","0.02","3:40","175","176","--","--","174","1.57","1","3:28","174","0:03.7","3:40"
"Podsumowanie","36:47","36:47","10.02","3:40","164","193","44","45","169","1.61","567","3:15","180","36:45","3:40"
