"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:17.5","4:17.5","1.00","4:17","117","129","--","--","160","1.46","35","3:49","171","4:17","4:17"
"2","4:02.4","8:19.8","1.00","4:02","135","160","--","6","161","1.54","43","3:48","166","4:02","4:02"
"3","4:09.4","12:29","1.00","4:09","138","175","4","--","162","1.49","45","4:01","164","4:09","4:09"
"4","4:09.8","16:39","1.00","4:10","152","157","4","9","162","1.49","55","4:00","167","4:09.8","4:10"
"5","4:28.8","21:08","1.00","4:29","152","160","24","--","163","1.37","57","4:04","169","4:28.8","4:29"
"6","3:59.5","25:07","1.00","4:00","158","164","--","14","163","1.54","54","3:53","167","3:59","3:59"
"7","4:05.6","29:13","1.00","4:06","160","164","--","6","162","1.51","56","4:02","165","4:05.6","4:06"
"8","4:10.0","33:23","1.00","4:10","160","168","9","10","162","1.49","56","3:58","166","4:09","4:09"
"9","4:10.1","37:33","1.00","4:10","162","165","--","--","163","1.47","57","3:57","167","4:10","4:10"
"10","4:07.7","41:41","1.00","4:08","159","163","3","4","163","1.49","55","4:04","165","4:07.7","4:08"
"11","4:09.3","45:50","1.00","4:09","162","167","3","--","163","1.47","57","3:45","169","4:09","4:09"
"12","2:51.6","48:42","0.71","4:02","168","172","3","--","165","1.51","41","3:56","169","2:51","4:01"
"Podsumowanie","48:42","48:42","11.71","4:10","151","175","51","49","162","1.48","611","3:45","171","48:38","4:09"
