"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:16.7","4:16.7","1.00","4:17","143","156","7","2","169","1.38","54","2:51","189","4:16","4:16"
"2","4:43.2","8:59.9","1.00","4:43","146","155","--","6","164","1.29","61","2:33","193","4:43","4:43"
"3","4:51.6","13:52","1.00","4:52","143","152","--","11","162","1.27","60","4:24","169","4:51.6","4:52"
"4","1:46.0","15:38","0.38","4:37","146","150","--","--","165","1.32","21","4:29","168","1:46.0","4:37"
"Podsumowanie","15:38","15:38","3.38","4:37","144","156","7","20","165","1.31","196","2:33","193","15:37","4:37"
