"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","1:00.5","1:00.5","0.30","3:19","132","161","7","--","176","1.72","10","3:05","186","1:00.5","3:19"
"2","1:30.3","2:30.8","0.30","5:02","145","160","--","--","154","1.29","20","4:44","158","1:30","5:01"
"3","0:57.3","3:28.1","0.30","3:11","147","156","9","5","180","1.74","13","3:03","189","0:57.3","3:11"
"4","1:43.1","5:11.2","0.32","5:19","148","159","--","9","155","1.21","24","3:14","180","1:43","5:19"
"5","0:58.0","6:09.2","0.29","3:19","157","170","--","--","180","1.67","13","3:07","187","0:58.0","3:19"
"6","1:24.0","7:33.1","0.30","4:37","146","171","9","9","154","1.41","19","3:17","184","1:24.0","4:37"
"7","0:58.1","8:31.2","0.29","3:17","159","170","--","--","181","1.68","14","3:01","189","0:58","3:17"
"8","1:23.8","9:55.0","0.31","4:30","134","171","9","10","156","1.43","15","3:12","184","1:22","4:24"
"9","0:56.9","10:52","0.29","3:16","155","172","9","--","182","1.68","12","3:00","189","0:56.9","3:16"
"10","1:37.9","12:30","0.32","5:10","152","171","--","9","153","1.27","23","3:10","182","1:37.9","5:10"
"11","0:55.9","13:26","0.29","3:11","162","173","10","--","184","1.70","13","3:00","190","0:55.9","3:11"
"12","1:43.3","15:09","0.32","5:20","152","173","--","8","155","1.21","24","3:09","186","1:43","5:19"
"13","0:51.7","16:01","0.30","2:54","162","176","--","--","191","1.81","12","2:47","197","0:51.7","2:54"
"14","4:10.4","20:11","1.00","4:10","148","175","26","10","166","1.45","53","2:35","194","4:09","4:09"
"15","0:08.7","20:20","0.05","3:07","165","165","--","10","192","1.67","1","2:35","192","0:08","2:52"
"16","4:02.9","24:23","1.00","4:03","152","172","--","11","165","1.50","55","2:48","192","4:02.9","4:03"
"17","4:25.4","28:48","1.00","4:25","156","163","6","--","164","1.37","63","4:17","168","4:25","4:25"
"18","4:10.5","32:59","1.00","4:11","160","166","4","--","165","1.45","61","3:51","171","4:10","4:10"
"19","0:16.7","33:15","0.06","4:30","163","166","--","--","165","1.35","4","4:00","166","0:16.7","4:30"
"Podsumowanie","33:15","33:15","8.05","4:08","152","176","89","82","166","1.45","449","2:35","197","33:10","4:07"
