"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","13:15","13:15","3.24","4:05","142","156","1","160","1.53","172","3:46","165","13:15","4:05"
"Podsumowanie","13:15","13:15","3.24","4:05","142","156","1","160","1.53","172","3:46","165","13:15","4:05"
