"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:17.6","4:17.6","1.00","4:18","140","151","--","--","161","1.45","54","3:58","166","4:17.6","4:18"
"2","4:09.4","8:26.9","1.00","4:09","149","154","3","--","163","1.48","59","3:59","165","4:09","4:09"
"3","4:10.3","12:37","1.00","4:10","149","155","15","--","165","1.46","58","3:59","170","4:10.3","4:10"
"4","3:58.7","16:36","1.00","3:59","152","158","3","14","163","1.54","56","3:54","167","3:58","3:58"
"5","4:00.2","20:36","1.00","4:00","159","165","--","5","163","1.54","60","3:56","165","4:00.2","4:00"
"6","4:06.2","24:42","1.00","4:06","162","168","10","--","164","1.49","63","4:02","169","4:06.2","4:06"
"7","4:07.2","28:50","1.00","4:07","164","169","10","--","164","1.48","64","3:51","169","4:07","4:07"
"8","4:02.7","32:52","1.00","4:03","158","166","--","7","163","1.52","58","3:49","169","4:02.7","4:03"
"9","4:01.9","36:54","1.00","4:02","156","165","2","--","163","1.52","55","3:47","169","4:01.9","4:02"
"10","4:02.3","40:56","1.00","4:02","162","171","7","--","165","1.50","59","3:48","169","4:02","4:02"
"11","3:58.0","44:54","1.00","3:58","161","164","--","4","164","1.54","59","3:49","167","3:58.0","3:58"
"12","3:59.1","48:54","1.00","3:59","161","165","4","7","164","1.53","58","3:58","165","3:59","3:59"
"13","3:59.5","52:53","1.00","3:59","163","170","--","5","164","1.52","59","3:53","167","3:59.5","3:59"
"14","4:01.3","56:54","1.00","4:01","163","166","7","7","165","1.50","59","3:47","171","4:01","4:01"
"15","4:06.5","1:01:01","1.00","4:07","164","167","9","--","166","1.46","62","3:57","171","4:06.5","4:07"
"16","3:52.4","1:04:53","1.00","3:52","163","167","4","21","165","1.56","57","3:44","170","3:52","3:52"
"17","0:09.9","1:05:03","0.04","3:45","163","163","--","--","164","1.63","2","3:50","164","0:09.9","3:45"
"Podsumowanie","1:05:03","1:05:03","16.04","4:03","158","171","74","70","164","1.50","942","3:44","171","1:05:01","4:03"
