"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:36.8","3:36.8","1.00","3:37","130","138","9","13","170","1.62","36","3:31","184","3:36.8","3:37"
"2","4:08.7","7:45.5","1.00","4:09","143","165","18","15","167","1.45","49","3:31","181","4:08.7","4:09"
"3","3:58.5","11:44","1.00","3:58","153","160","15","12","167","1.50","52","3:24","181","3:58","3:58"
"4","3:48.3","15:32","1.00","3:48","156","163","10","11","171","1.53","51","3:26","183","3:48","3:48"
"5","4:56.3","20:29","1.00","4:56","159","167","8","12","164","1.23","68","3:26","232","4:56.3","4:56"
"6","3:27.1","23:56","1.00","3:27","163","171","16","9","178","1.63","48","3:17","186","3:27","3:27"
"7","5:22.9","29:19","1.00","5:23","158","166","9","18","159","1.17","71","3:11","189","5:17","5:17"
"8","3:26.4","32:45","1.00","3:26","161","168","19","10","178","1.63","46","3:10","187","3:26","3:26"
"9","5:46.0","38:31","1.00","5:46","156","165","10","18","161","1.08","70","3:13","189","4:31","4:31"
"10","3:26.5","41:58","1.00","3:27","161","170","18","11","177","1.64","46","3:12","183","3:26.5","3:27"
"11","5:50.0","47:47","1.00","5:50","149","163","10","17","160","1.07","57","3:07","190","4:34","4:34"
"12","3:54.3","51:42","1.00","3:54","156","162","18","10","172","1.49","46","3:08","186","3:54","3:54"
"13","1:13.7","52:56","0.03","36:28","132","150","--","5","97","0.28","5","14:18","116","0:23","11:23"
"Podsumowanie","52:56","52:56","12.03","4:24","153","171","160","161","167","1.35","645","3:07","232","49:26","4:07"
