"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:28.1","3:28.1","1.00","3:28","141","159","10","13","171","1.69","42","3:20","186","3:27","3:27"
"2","3:58.4","7:26.5","1.00","3:58","155","165","17","11","170","1.48","56","3:20","183","3:58","3:58"
"3","3:53.1","11:20","1.00","3:53","152","160","9","6","169","1.52","52","3:26","187","3:53","3:53"
"4","3:33.8","14:53","1.00","3:34","142","149","7","10","173","1.62","40","3:21","183","3:33.8","3:34"
"5","4:31.3","19:25","1.00","4:31","147","161","17","6","166","1.33","55","3:37","189","4:30","4:30"
"6","3:38.4","23:03","1.00","3:38","144","168","8","21","173","1.59","41","3:30","183","3:38.4","3:38"
"7","4:35.5","27:38","1.00","4:35","145","151","15","14","165","1.32","51","3:17","179","4:35","4:35"
"8","3:37.1","31:16","1.00","3:37","150","160","5","8","175","1.58","45","3:17","183","3:37.1","3:37"
"9","5:41.4","36:57","1.00","5:41","148","170","26","13","164","1.07","63","3:29","186","5:21","5:21"
"10","3:30.5","40:27","1.00","3:30","165","176","7","14","176","1.62","50","3:22","186","3:30","3:30"
"11","4:30.8","44:58","1.00","4:31","153","160","10","11","164","1.35","56","3:32","183","4:30.8","4:31"
"12","3:37.5","48:36","1.00","3:38","168","181","16","6","176","1.57","54","3:28","186","3:37","3:37"
"13","3:21.1","51:57","0.79","4:14","164","184","--","10","166","1.43","44","3:16","185","3:06","3:55"
"Podsumowanie","51:57","51:57","12.79","4:04","151","184","146","143","169","1.45","649","3:16","189","51:17","4:01"
