"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:30.4","4:30.4","1.01","4:27","127","159","--","1","161","1.40","48","3:55","165","4:30.4","4:27"
"2","4:12.0","8:42.4","1.00","4:12","137","151","--","2","162","1.47","51","3:58","165","4:11","4:11"
"3","4:15.3","12:58","1.00","4:15","145","155","4","3","164","1.44","56","4:09","165","4:15.3","4:15"
"4","4:07.2","17:05","1.00","4:07","153","157","--","5","163","1.49","59","4:06","167","4:06","4:06"
"5","4:17.2","21:22","1.00","4:17","153","159","8","6","164","1.43","61","4:02","167","4:17.2","4:17"
"6","4:15.4","25:38","1.00","4:15","154","159","--","--","165","1.43","60","4:12","168","4:15","4:15"
"7","4:13.7","29:51","1.00","4:14","151","156","--","5","164","1.44","56","4:10","167","4:13.7","4:14"
"8","4:15.5","34:07","1.00","4:16","150","154","6","--","164","1.43","54","4:15","168","4:15.5","4:16"
"9","4:19.2","38:26","1.00","4:19","154","164","6","6","164","1.41","58","4:09","168","4:19","4:19"
"10","4:11.4","42:37","1.00","4:11","152","157","--","--","162","1.47","54","4:00","165","4:11","4:11"
"11","4:02.5","46:40","1.00","4:03","154","157","--","--","163","1.52","53","3:56","165","4:02.5","4:03"
"12","4:12.7","50:53","1.00","4:13","139","154","--","8","162","1.47","34","4:00","165","4:12.7","4:13"
"13","4:20.5","55:13","1.00","4:20","148","154","7","--","163","1.41","47","4:13","168","4:20","4:20"
"14","4:20.3","59:33","1.00","4:20","148","153","5","5","163","1.41","47","4:16","167","4:20.3","4:20"
"15","4:12.5","1:03:46","1.00","4:12","149","152","--","--","163","1.46","46","4:06","165","4:12","4:12"
"16","4:19.4","1:08:05","1.00","4:19","148","160","--","8","163","1.42","45","4:10","165","4:19","4:19"
"17","4:11.7","1:12:17","1.00","4:12","153","163","10","--","165","1.45","51","4:04","168","4:11.7","4:12"
"18","4:09.6","1:16:27","1.00","4:10","154","160","--","--","163","1.48","53","4:08","167","4:09.6","4:10"
"19","4:11.4","1:20:38","1.00","4:11","154","164","--","--","163","1.46","50","3:53","167","4:11","4:11"
"20","4:02.7","1:24:41","1.00","4:02","155","170","4","--","165","1.50","50","3:58","170","4:02","4:02"
"Podsumowanie","1:24:41","1:24:41","20.02","4:14","149","170","49","49","163","1.45","1,033","3:53","170","1:24:35","4:14"
