"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:14.3","0:14.3","0.10","2:26","134","136","--","200","2.06","1","2:29","201","0:14.3","2:26"
"2","1:03.9","1:18.2","0.17","6:21","141","149","3","169","0.93","13","2:31","201","1:03.9","6:21"
"3","0:13.7","1:32.0","0.09","2:39","142","145","--","188","2.00","2","2:35","201","0:13.7","2:39"
"4","1:09.0","2:41.0","0.16","7:11","142","145","--","165","0.85","14","2:39","199","1:09.0","7:11"
"5","0:14.4","2:55.4","0.09","2:34","142","142","--","183","2.13","2","2:14","204","0:14","2:29"
"6","0:59.9","3:55.3","0.17","5:56","149","153","--","167","1.01","13","2:31","199","0:59.9","5:56"
"7","0:14.5","4:09.7","0.09","2:35","145","146","--","175","2.20","3","2:35","200","0:14.5","2:35"
"8","0:56.9","5:06.7","0.15","6:08","147","158","--","165","0.99","12","2:30","197","0:56.9","6:08"
"9","0:14.3","5:21.0","0.09","2:32","155","158","--","181","2.19","3","2:19","197","0:14","2:29"
"10","1:00.2","6:21.2","0.16","6:19","149","153","--","168","0.94","13","2:23","197","1:00","6:17"
"11","0:13.9","6:35.1","0.09","2:35","142","143","--","184","2.12","2","2:12","201","0:13.9","2:35"
"12","0:58.9","7:34.0","0.16","5:57","148","152","--","164","1.02","12","2:14","201","0:58.9","5:57"
"13","0:14.3","7:48.3","0.09","2:40","147","147","--","188","2.00","3","2:23","201","0:14","2:37"
"14","0:59.4","8:47.7","0.16","6:05","147","149","--","168","0.98","12","2:21","197","0:59.4","6:05"
"15","0:14.3","9:02.0","0.09","2:34","141","142","--","189","2.07","2","2:25","203","0:14","2:31"
"16","0:56.3","9:58.2","0.16","5:49","151","162","--","168","1.02","12","2:25","201","0:56","5:47"
"17","0:14.1","10:12","0.09","2:44","147","149","--","184","1.99","2","2:19","204","0:14","2:44"
"18","0:55.1","11:07","0.16","5:37","149","153","--","171","1.04","12","2:19","204","0:55","5:37"
"19","0:13.9","11:21","0.09","2:39","146","147","--","185","2.04","2","2:10","208","0:13.9","2:39"
"20","0:25.6","11:47","0.08","5:20","147","149","--","185","1.02","5","2:10","208","0:25.6","5:20"
"Podsumowanie","11:47","11:47","2.45","4:48","146","162","3","171","1.20","140","2:10","208","11:45","4:47"
