"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:35.3","4:35.3","1.00","4:35","143","158","--","--","160","1.36","59","4:10","165","4:34","4:34"
"2","4:33.0","9:08.3","1.00","4:33","148","155","12","--","162","1.36","61","4:13","165","4:33.0","4:33"
"3","4:25.6","13:34","1.00","4:26","152","154","17","--","164","1.38","61","4:19","170","4:25.6","4:26"
"4","4:12.3","17:46","1.00","4:12","155","162","--","--","165","1.44","59","4:01","172","4:12","4:12"
"5","4:09.5","21:56","1.00","4:10","156","161","5","19","162","1.49","58","3:56","172","4:09.5","4:10"
"6","0:06.6","22:02","0.03","4:18","154","155","--","--","157","1.48","1","4:15","158","0:05","3:17"
"Podsumowanie","22:02","22:02","5.03","4:23","151","162","34","19","162","1.41","299","3:56","172","21:59","4:22"
