"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:23.5","4:23.5","1.00","4:24","138","150","--","3","160","1.42","53","3:44","171","4:23.5","4:24"
"2","4:22.8","8:46.3","1.00","4:23","143","147","--","--","162","1.41","56","4:19","165","4:22.8","4:23"
"3","4:13.9","13:00","1.00","4:14","135","157","6","5","163","1.45","45","3:53","167","4:13.9","4:14"
"4","4:09.2","17:09","1.00","4:09","136","146","--","3","163","1.47","43","3:55","167","4:09","4:09"
"5","4:10.2","21:20","1.00","4:10","146","154","8","--","165","1.45","52","3:51","169","4:09","4:09"
"6","0:15.2","21:35","0.06","4:19","150","152","--","--","166","1.39","3","3:59","167","0:15","4:16"
"Podsumowanie","21:35","21:35","5.06","4:16","140","157","14","11","163","1.44","252","3:44","171","21:33","4:16"
