"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:47.4","3:47.4","1.00","3:47","141","156","171","1.54","48","2:51","197","3:37","3:37"
"2","3:30.4","7:17.8","1.00","3:30","147","152","176","1.62","48","2:43","203","3:30.4","3:30"
"3","4:25.7","11:43","1.00","4:26","145","161","162","1.40","56","2:49","197","4:25","4:25"
"4","3:00.6","14:44","0.72","4:11","152","158","163","1.47","41","3:28","170","3:00","4:10"
"Podsumowanie","14:44","14:44","3.72","3:58","146","161","168","1.50","193","2:43","203","14:32","3:55"
