"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:32.3","3:32.3","1.04","3:24","129","142","--","166","1.77","36","3:13","182","3:32","3:24"
"2","3:29.8","7:02.2","1.04","3:21","136","139","--","168","1.77","40","3:18","172","3:29.8","3:21"
"3","3:27.9","10:30","1.03","3:22","134","138","--","170","1.75","37","3:16","174","3:27.9","3:22"
"4","3:24.5","13:55","1.05","3:14","151","179","--","171","1.81","43","3:12","174","3:24.5","3:14"
"5","3:25.5","17:20","1.04","3:17","175","179","1","171","1.78","54","3:11","174","3:25","3:17"
"6","3:04.6","20:25","0.89","3:27","175","180","--","173","1.68","49","3:16","176","3:00","3:22"
"Podsumowanie","20:25","20:25","6.10","3:21","149","180","1","170","1.76","259","3:11","182","20:19","3:20"
