"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:58.3","4:58.3","1.00","4:58","139","154","3","157","1.28","61","4:28","163","4:57","4:57"
"2","2:48.4","7:46.7","0.64","4:22","152","157","--","160","1.43","41","4:01","166","2:48.4","4:22"
"Podsumowanie","7:46.7","7:46.7","1.64","4:44","144","157","3","158","1.33","102","4:01","166","7:45.4","4:43"
