duration,offline
469,false
465,false
477,false
477,false
463,false
469,false
474,false
470,false
460,false
476,false
469,false
462,false
471,false
469,false
464,false
470,false
467,false
466,false
466,false
464,false
472,false
461,false
456,false
469,false
463,false
455,false
460,false
466,false
458,false
457,false
462,false
464,false
454,false
455,false
463,false
453,false
454,false
460,false
452,false
450,false
460,false
453,false
448,false
457,false
457,false
448,false
453,false
456,false
453,false
453,false
459,false
455,false
450,false
455,false
459,false
453,false
453,false
453,false
456,false
447,false
457,false
458,false
448,false
454,false
459,false
451,false
451,false
458,false
448,false
446,false
451,false
447,false
444,false
444,false
450,false
453,false
438,false
442,false
444,false
441,false
450,false
439,false
436,false
450,false
442,false
443,false
439,false
440,false
444,false
446,false
450,false
436,false
439,false
442,false
447,false
452,false
438,false
444,false
442,false
447,false
446,false
438,false
442,false
442,false
448,false
445,false
439,false
444,false
444,false
450,false
440,false
443,false
444,false
448,false
454,false
439,false
446,false
444,false
447,false
444,false
445,false
450,false
444,false
438,false
441,false
450,false
453,false
436,false
443,false
444,false
448,false
444,false
440,false
444,false
446,false
452,false
442,false
442,false
452,false
442,false
437,false
449,false
444,false
436,false
437,false
438,false
443,false
445,false
432,false
433,false
435,false
439,false
443,false
439,false
631,false
617,false
607,false
584,false
575,false
563,false
560,false
559,false
563,false
561,false
554,false
546,false
554,false
549,false
548,false
553,false
543,false
554,false
538,false
539,false
533,false
538,false
532,false
531,false
524,false
525,false
517,false
520,false
506,false
518,false
506,false
511,false
501,false
506,false
499,false
494,false
499,false
484,false
496,false
483,false
488,false
483,false
473,false
483,false
484,false
471,false
479,false
481,false
466,false
474,false
477,false
464,false
470,false
475,false
457,false
469,false
463,false
461,false
460,false
469,false
472,false
456,false
468,false
472,false
460,false
466,false
470,false
463,false
459,false
468,false
467,false
453,false
468,false
463,false
455,false
462,false
464,false
460,false
459,false
463,false
466,false
460,false
466,false
474,false
464,false
463,false
476,false
467,false
465,false
468,false
482,false
466,false
468,false
469,false
468,false
468,false
465,false
469,false
461,false
465,false
474,false
466,false
453,false
462,false
465,false
457,false
454,false
463,false
461,false
448,false
456,false
459,false
456,false
452,false
457,false
459,false
456,false
457,false
456,false
464,false
459,false
458,false
459,false
464,false
456,false
459,false
461,false
462,false
452,false
453,false
456,false
459,false
449,false
452,false
459,false
464,false
449,false
452,false
454,false
458,false
446,false
451,false
459,false
