duration,offline
674,false
649,false
631,false
628,false
623,false
612,false
601,false
597,false
598,false
586,false
586,false
588,false
572,false
581,false
572,false
563,false
571,false
560,false
563,false
562,false
548,false
562,false
549,false
555,false
547,false
552,false
538,false
550,false
539,false
547,false
517,false
539,false
534,false
541,false
533,false
539,false
540,false
530,false
534,false
523,false
549,false
535,false
546,false
526,false
546,false
531,false
539,false
532,false
535,false
530,false
529,false
526,false
520,false
529,false
517,false
518,false
527,false
518,false
527,false
516,false
513,false
521,false
512,false
513,false
509,false
512,false
510,false
496,false
509,false
511,false
494,false
505,false
506,false
492,false
495,false
494,false
484,false
485,false
482,false
473,false
475,false
476,false
471,false
467,false
472,false
474,false
465,false
459,false
467,false
472,false
470,false
463,false
464,false
472,false
465,false
462,false
471,false
471,false
462,false
462,false
465,false
468,false
457,false
452,false
460,false
462,false
465,false
456,false
460,false
465,false
465,false
457,false
459,false
464,false
467,false
458,false
459,false
464,false
470,false
459,false
459,false
465,false
473,false
463,false
461,false
461,false
474,false
467,false
472,false
469,false
475,false
470,false
468,false
470,false
464,false
465,false
464,false
467,false
464,false
462,false
463,false
461,false
459,false
456,false
455,false
461,false
455,false
450,false
448,false
454,false
450,false
450,false
449,false
452,false
454,false
456,false
451,false
454,false
453,false
454,false
454,false
452,false
451,false
454,false
456,false
447,false
450,false
457,false
456,false
458,false
455,false
455,false
458,false
456,false
452,false
455,false
457,false
455,false
454,false
450,false
448,false
457,false
461,false
455,false
451,false
456,false
462,false
459,false
453,false
451,false
462,false
461,false
456,false
455,false
451,false
467,false
464,false
461,false
459,false
465,false
466,false
462,false
459,false
461,false
463,false
459,false
459,false
455,false
463,false
461,false
456,false
454,false
459,false
459,false
459,false
450,false
456,false
460,false
461,false
449,false
447,false
458,false
458,false
450,false
447,false
450,false
456,false
454,false
449,false
449,false
453,false
452,false
452,false
445,false
449,false
453,false
453,false
452,false
448,false
452,false
451,false
453,false
456,false
450,false
455,false
454,false
456,false
457,false
439,false
466,false
456,false
450,false
452,false
452,false
450,false
449,false
446,false
448,false
449,false
450,false
449,false
449,false
457,false
455,false
459,false
459,false
461,false
459,false
464,false
462,false
461,false
460,false
461,false
462,false
460,false
461,false
462,false
462,false
455,false
460,false
468,false
464,false
462,false
380,false
545,false
467,false
459,false
456,false
456,false
466,false
468,false
457,false
455,false
463,false
463,false
459,false
454,false
459,false
459,false
455,false
451,false
455,false
453,false
457,false
458,false
456,false
460,false
460,false
455,false
456,false
452,false
459,false
457,false
454,false
453,false
456,false
458,false
454,false
453,false
451,false
457,false
458,false
453,false
445,false
451,false
454,false
458,false
449,false
447,false
456,false
462,false
464,false
452,false
454,false
461,false
462,false
454,false
452,false
451,false
458,false
462,false
458,false
458,false
461,false
458,false
456,false
456,false
453,false
454,false
458,false
456,false
454,false
451,false
456,false
457,false
455,false
446,false
318,false
572,false
455,false
446,false
444,false
447,false
456,false
456,false
449,false
451,false
458,false
458,false
460,false
460,false
462,false
460,false
461,false
461,false
460,false
459,false
462,false
461,false
457,false
457,false
457,false
460,false
453,false
453,false
453,false
458,false
459,false
457,false
449,false
457,false
456,false
461,false
460,false
454,false
462,false
463,false
460,false
456,false
457,false
464,false
466,false
458,false
456,false
467,false
471,false
462,false
458,false
469,false
474,false
462,false
460,false
467,false
469,false
459,false
455,false
457,false
465,false
468,false
464,false
465,false
468,false
469,false
465,false
468,false
466,false
470,false
463,false
462,false
464,false
465,false
461,false
459,false
457,false
460,false
461,false
457,false
460,false
463,false
462,false
460,false
460,false
462,false
461,false
460,false
457,false
456,false
457,false
458,false
452,false
454,false
451,false
456,false
457,false
452,false
454,false
455,false
452,false
453,false
451,false
460,false
451,false
451,false
450,false
456,false
451,false
442,false
446,false
442,false
442,false
446,false
448,false
444,false
447,false
450,false
453,false
453,false
450,false
444,false
453,false
456,false
456,false
442,false
445,false
452,false
453,false
448,false
442,false
447,false
456,false
450,false
443,false
447,false
452,false
448,false
449,false
446,false
448,false
448,false
451,false
454,false
450,false
449,false
451,false
453,false
456,false
452,false
447,false
456,false
458,false
460,false
457,false
453,false
458,false
457,false
448,false
450,false
450,false
453,false
450,false
450,false
449,false
455,false
457,false
452,false
452,false
451,false
454,false
456,false
454,false
443,false
448,false
454,false
458,false
452,false
443,false
455,false
463,false
457,false
450,false
442,false
460,false
453,false
453,false
444,false
447,false
454,false
450,false
448,false
445,false
446,false
445,false
448,false
450,false
445,false
444,false
444,false
450,false
452,false
452,false
440,false
446,false
457,false
460,false
448,false
443,false
448,false
460,false
453,false
446,false
444,false
450,false
452,false
451,false
449,false
447,false
450,false
452,false
451,false
445,false
445,false
447,false
445,false
447,false
446,false
451,false
453,false
457,false
458,false
455,false
457,false
458,false
457,false
455,false
452,false
453,false
454,false
451,false
455,false
450,false
449,false
454,false
452,false
455,false
448,false
447,false
441,false
444,false
444,false
441,false
436,false
435,false
439,false
445,false
452,false
442,false
441,false
442,false
452,false
448,false
447,false
443,false
447,false
446,false
446,false
450,false
445,false
442,false
439,false
447,false
448,false
445,false
435,false
436,false
445,false
453,false
440,false
437,false
438,false
448,false
447,false
447,false
446,false
446,false
450,false
449,false
451,false
453,false
446,false
441,false
447,false
449,false
453,false
444,false
438,false
451,false
453,false
451,false
446,false
443,false
452,false
450,false
448,false
450,false
444,false
450,false
450,false
452,false
453,false
445,false
443,false
446,false
443,false
450,false
443,false
444,false
444,false
454,false
452,false
441,false
439,false
450,false
452,false
445,false
443,false
442,false
448,false
447,false
444,false
445,false
442,false
443,false
446,false
443,false
447,false
442,false
443,false
442,false
446,false
449,false
449,false
437,false
442,false
453,false
452,false
445,false
437,false
444,false
450,false
449,false
444,false
438,false
441,false
440,false
442,false
446,false
