"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:07.8","4:07.8","1.00","4:08","129","138","0","1","158","1.54","39","26.0","3:35","170","4:07.8","4:08"
"2","4:07.9","8:15.7","1.00","4:08","135","140","3","0","159","1.52","40","27.0","4:04","165","4:07.9","4:08"
"3","3:50.0","12:06","1.00","3:50","139","144","1","1","159","1.64","38","26.0","3:34","163","3:50","3:50"
"4","3:24.5","15:30","1.00","3:24","141","144","4","0","159","1.85","35","26.0","2:22","165","3:24","3:24"
"5","3:35.0","19:05","1.00","3:35","139","143","5","2","158","1.76","34","25.0","3:49","161","3:35.0","3:35"
"6","3:56.6","23:02","1.00","3:57","141","146","10","2","158","1.60","37","26.0","3:30","163","3:56.6","3:57"
"7","4:16.1","27:18","1.00","4:16","143","149","13","0","157","1.49","43","27.0","3:51","161","4:16","4:16"
"8","4:00.3","31:18","1.00","4:00","135","146","4","6","157","1.60","30","27.0","3:30","167","3:59","3:59"
"9","3:40.6","34:59","1.00","3:41","141","146","0","19","161","1.69","31","26.0","3:11","167","3:40","3:40"
"10","3:59.9","38:59","1.00","4:00","145","149","0","5","160","1.56","39","26.0","3:37","163","3:59.9","4:00"
"11","3:50.9","42:49","1.00","3:51","145","148","0","3","160","1.63","37","26.0","3:39","165","3:50.9","3:51"
"12","3:58.8","46:48","1.00","3:59","144","147","0","2","159","1.58","36","26.0","3:51","165","3:58.8","3:59"
"13","0:02.0","46:50","0.01","3:25","147","147","0","0","161","1.82","0","26.0","3:53","161","0:01","1:45"
"Summary","46:50","46:50","12.01","3:54","140","149","40","42","159","1.62","439","26.2","2:22","170","46:47","3:54"
