"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:15.3","4:15.3","1.00","4:15","118","139","1","2","159","1.47","32","24.0","3:37","172","4:15.3","4:15"
"2","4:15.0","8:30.3","1.00","4:15","140","142","3","1","157","1.50","40","20.0","4:08","161","4:15.0","4:15"
"3","4:05.9","12:36","1.00","4:06","137","143","1","2","157","1.55","36","19.0","3:49","161","4:05.9","4:06"
"4","4:24.8","17:01","1.00","4:25","140","148","6","1","156","1.45","43","18.0","3:58","161","4:24.8","4:25"
"5","4:07.3","21:08","1.00","4:07","141","150","5","2","157","1.55","40","18.0","3:39","163","4:07","4:07"
"6","4:17.7","25:26","1.00","4:18","143","149","21","1","156","1.49","41","19.0","4:04","159","4:17.7","4:18"
"7","4:17.4","29:43","1.00","4:17","139","152","15","1","157","1.49","37","19.0","3:44","163","4:17","4:17"
"8","3:58.1","33:41","1.00","3:58","143","147","0","12","159","1.58","37","19.0","3:38","167","3:58","3:58"
"9","3:50.2","37:32","1.00","3:50","145","148","0","18","159","1.64","36","19.0","3:34","167","3:50","3:50"
"10","3:54.6","41:26","1.00","3:55","147","150","0","3","158","1.62","39","19.0","3:39","163","3:54.6","3:55"
"11","3:56.9","45:23","1.00","3:57","148","151","2","2","159","1.60","39","19.0","3:42","167","3:56.9","3:57"
"12","2:29.7","47:53","0.64","3:53","152","154","2","0","159","1.62","27","19.0","3:47","165","2:29","3:52"
"Summary","47:53","47:53","11.64","4:07","140","154","58","47","158","1.54","447","19.4","3:34","172","47:51","4:07"
