"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:13.8","4:13.8","1.00","4:14","126","142","2","21","156","1.51","33","19.0","3:39","170","4:07","4:07"
"2","4:09.4","8:23.3","1.00","4:09","148","154","23","3","155","1.55","47","15.0","3:30","161","4:09","4:09"
"3","3:52.9","12:16","1.00","3:53","145","151","0","33","157","1.64","41","12.0","3:32","165","3:52.9","3:53"
"4","4:04.3","16:21","1.00","4:04","147","153","0","5","153","1.61","43","10.0","3:36","167","4:04","4:04"
"5","4:08.3","20:29","1.00","4:08","142","151","0","1","151","1.60","38","10.0","3:54","157","4:07","4:07"
"6","4:16.0","24:45","1.00","4:16","146","153","1","2","153","1.53","42","10.0","4:08","163","4:16","4:16"
"7","4:15.9","29:01","1.00","4:16","149","155","4","1","153","1.53","43","9.0","4:05","157","4:15.9","4:16"
"8","4:30.0","33:31","1.00","4:30","154","159","22","0","154","1.45","49","9.0","4:13","159","4:30.0","4:30"
"9","4:06.7","37:37","1.00","4:07","151","155","10","1","151","1.61","41","9.0","3:45","159","4:06.7","4:07"
"10","3:37.3","41:15","0.84","4:20","155","159","14","0","155","1.49","39","9.0","4:06","161","3:36","4:19"
"Summary","41:15","41:15","9.84","4:12","146","159","75","67","154","1.55","416","11.2","3:30","170","41:04","4:11"
