"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.34","2:58","141","164","4","3","166","2.04","11","24.0","2:43","188","1:00","2:58"
"","","Rest","2","1:30","2:30","0.26","5:47","154","167","0","0","153","1.13","21","23.0","2:40","183","1:29","5:44"
"","2","Run","3","1:00","3:30","0.34","2:55","157","172","1","1","181","1.90","14","23.0","2:33","187","1:00","2:55"
"","","Rest","4","1:30","5:00","0.29","5:12","160","172","0","0","150","1.28","22","22.0","2:50","180","1:30","5:12"
"","3","Run","5","1:00","6:00","0.35","2:50","158","173","4","3","178","1.99","14","22.0","2:17","185","1:00","2:50"
"","","Rest","6","1:30","7:30","0.22","6:51","158","173","1","2","149","0.98","22","22.0","2:58","238","1:30","6:51"
"","4","Run","7","1:00","8:30","0.35","2:49","152","169","0","0","176","2.01","13","22.0","2:36","186","1:00","2:49"
"","","Rest","8","1:30","10:00","0.25","5:54","157","171","0","0","130","1.30","22","22.0","2:48","181","1:30","5:54"
"","5","Run","9","1:00","11:00","0.33","3:00","157","170","2","0","170","1.96","14","23.0","2:38","183","1:00","3:00"
"","","Rest","10","1:30","12:30","0.28","5:22","158","172","0","2","148","1.25","21","23.0","3:02","177","1:29","5:19"
"","6","Run","11","1:00","13:30","0.35","2:51","157","171","4","2","168","2.08","14","23.0","2:25","186","0:58","2:46"
"","","Rest","12","1:30","15:00","0.23","6:26","159","173","3","4","147","1.06","22","23.0","2:52","239","1:30","6:26"
"","7","Run","13","3:48.5","18:48","0.12","33:07","111","138","0","0","23","1.30","13","25.0","9:21","122","2:05","18:07"
"","Summary","--","--","18:48","18:48","3.72","5:03","147","173","18","17","130","1.46","223","23.1","2:17","239","17:01","4:35"
