"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:31.4","4:31.4","1.00","4:31","131","150","4","6","165","1.34","50","25.0","3:39","172","4:31","4:31"
"2","3:33.2","8:04.6","1.00","3:33","155","160","2","0","167","1.69","53","22.0","3:21","172","3:33","3:33"
"3","3:20.1","11:25","1.00","3:20","158","162","1","1","166","1.81","51","20.0","2:50","169","3:20.1","3:20"
"4","3:27.7","14:52","1.00","3:28","157","162","4","3","165","1.75","52","21.0","3:19","170","3:27","3:27"
"5","3:35.0","18:27","1.00","3:35","157","161","1","3","166","1.68","54","22.0","3:14","172","3:34","3:34"
"6","3:32.8","22:00","1.00","3:33","157","161","6","0","165","1.71","52","22.0","3:03","169","3:32.8","3:33"
"7","3:39.7","25:40","1.00","3:40","155","160","1","7","165","1.66","51","23.0","3:21","169","3:39","3:39"
"8","3:28.6","29:09","1.00","3:29","157","160","5","2","165","1.75","50","23.0","3:27","167","3:28","3:28"
"9","3:35.6","32:44","1.00","3:36","158","161","2","3","164","1.70","52","23.0","3:13","168","3:35.6","3:36"
"10","3:32.8","36:17","1.00","3:33","158","162","2","1","164","1.72","51","22.0","3:40","169","3:32","3:32"
"11","3:31.8","39:49","1.00","3:32","156","159","0","2","162","1.75","49","22.0","3:06","172","3:31.8","3:32"
"12","3:58.0","43:47","1.00","3:58","155","160","3","5","163","1.54","52","22.0","3:30","167","3:58.0","3:58"
"13","0:09.6","43:56","0.04","3:36","157","157","0","0","165","1.68","2","21.0","4:20","167","0:08","3:00"
"Summary","43:56","43:56","12.04","3:39","154","162","32","35","165","1.67","619","22.3","2:50","172","43:50","3:38"
