"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.32","3:08","151","165","2","4","170","1.87","12","23.0","2:48","180","1:00","3:08"
"","","Rest","2","1:30","2:30","0.27","5:28","155","169","0","5","157","1.16","21","23.0","2:57","173","1:30","5:28"
"","2","Run","3","1:00","3:30","0.35","2:54","157","169","0","5","177","1.96","14","23.0","2:45","183","1:00","2:54"
"","","Rest","4","1:30","5:00","0.30","5:03","157","171","0","7","157","1.26","21","23.0","2:43","175","1:30","5:03"
"","3","Run","5","1:00","6:00","0.35","2:54","155","171","1","1","176","1.96","13","23.0","2:35","181","1:00","2:54"
"","","Rest","6","1:30","7:30","0.26","5:43","156","172","3","4","152","1.15","21","22.0","2:45","175","1:30","5:43"
"","4","Run","7","1:00","8:30","0.36","2:49","158","174","4","5","176","2.02","13","23.0","2:34","181","1:00","2:49"
"","","Rest","8","1:30","10:00","0.26","5:45","159","175","5","0","145","1.20","21","22.0","3:07","172","1:30","5:45"
"","5","Run","9","1:00","11:00","0.33","2:59","158","172","4","0","173","1.94","13","22.0","2:39","177","1:00","2:59"
"","","Rest","10","1:30","12:30","0.22","6:46","155","172","3","0","141","1.05","20","22.0","2:56","172","1:30","6:46"
"","6","Run","11","1:00","13:30","0.34","2:54","156","173","5","0","176","1.96","13","22.0","2:34","181","1:00","2:54"
"","","Rest","12","1:30","15:00","0.12","12:42","154","175","1","0","76","1.03","19","23.0","2:50","177","0:53","7:29"
"","7","Run","13","4:24.5","19:24","0.47","9:24","124","152","13","13","80","1.33","26","25.0","4:10","167","2:32","5:24"
"","Summary","--","--","19:24","19:24","3.95","4:55","149","175","42","44","136","1.43","227","23.1","2:34","183","16:55","4:17"
