"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:37.2","4:37.2","1.00","4:37","122","133","3","3","164","1.32","37","23.0","4:01","173","4:37.2","4:37"
"2","4:17.4","8:54.5","1.00","4:17","131","137","6","0","160","1.45","37","15.0","4:00","165","4:17","4:17"
"3","4:17.8","13:12","1.00","4:18","136","142","4","0","161","1.44","37","12.0","3:54","167","4:17.8","4:18"
"4","4:18.4","17:31","1.00","4:18","136","147","17","1","158","1.47","34","9.0","4:10","165","4:18","4:18"
"5","4:04.7","21:35","1.00","4:05","140","145","8","0","161","1.53","34","7.0","3:50","167","4:04.7","4:05"
"6","4:05.7","25:41","1.00","4:06","137","145","1","3","161","1.52","30","5.0","3:44","169","4:05","4:05"
"7","4:00.3","29:41","1.00","4:00","139","143","3","16","162","1.55","30","4.0","3:50","167","4:00","4:00"
"8","4:07.2","33:49","1.00","4:07","140","144","2","7","161","1.51","30","4.0","3:51","165","4:07","4:07"
"9","3:58.9","37:48","1.00","3:59","141","145","0","2","160","1.57","29","4.0","3:48","165","3:58.9","3:59"
"10","4:06.2","41:54","1.00","4:06","143","148","6","3","161","1.52","33","4.0","3:44","167","4:06","4:06"
"11","0:02.8","41:57","0.01","3:50","142","142","0","0","161","1.62","0","4.0","4:01","161","0:02","2:42"
"Summary","41:57","41:57","10.01","4:11","136","148","49","35","161","1.48","331","8.9","3:44","173","41:54","4:11"
