"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","0:15.8","0:15.8","0.10","2:43","114","117","1","2","147","2.51","0","21.0","2:13","189","0:15.8","2:43"
"2","0:35.0","0:50.8","0.11","5:19","111","116","0","0","151","1.25","3","20.0","2:13","190","0:35","5:18"
"3","0:15.6","1:06.4","0.10","2:39","106","106","0","0","176","2.14","1","20.0","2:17","189","0:15.6","2:39"
"4","0:43.6","1:50.0","0.12","6:00","106","106","0","0","160","1.04","3","19.0","2:27","188","0:43","5:55"
"5","0:15.3","2:05.3","0.10","2:27","103","104","2","2","174","2.34","1","19.0","2:08","189","0:15.3","2:27"
"6","0:35.1","2:40.5","0.11","5:21","98","103","0","0","147","1.27","2","18.0","2:11","190","0:35","5:20"
"7","0:15.1","2:55.6","0.09","2:41","95","98","0","0","141","2.64","1","18.0","2:28","191","0:15","2:39"
"8","0:42.8","3:38.5","0.13","5:30","127","155","0","0","152","1.19","5","17.0","2:29","191","0:42.8","5:30"
"9","0:14.9","3:53.4","0.10","2:32","142","144","0","0","175","2.26","2","17.0","2:06","191","0:14.9","2:32"
"10","0:40.5","4:33.8","0.11","6:05","150","161","1","2","113","1.45","7","17.0","2:07","195","0:40","6:01"
"11","0:16.1","4:50.0","0.10","2:34","156","159","1","0","179","2.18","3","17.0","2:07","196","0:16","2:33"
"12","0:42.5","5:32.5","0.12","5:58","159","161","3","3","151","1.11","8","16.0","2:12","198","0:42.5","5:58"
"13","0:14.0","5:46.5","0.09","2:28","150","151","0","0","183","2.22","2","16.0","2:08","201","0:14","2:28"
"14","0:39.4","6:25.9","0.11","6:00","138","146","2","3","153","1.09","6","16.0","2:08","201","0:39","5:56"
"15","0:14.3","6:40.2","0.09","2:33","133","134","3","0","179","2.18","2","16.0","2:13","198","0:14","2:30"
"16","0:45.9","7:26.1","0.13","5:48","132","134","1","4","155","1.11","6","15.0","2:16","196","0:45.9","5:48"
"17","0:14.2","7:40.4","0.10","2:21","122","123","1","0","177","2.40","1","16.0","2:09","199","0:14.2","2:21"
"18","0:59.5","8:39.9","0.12","8:11","139","158","0","1","131","0.94","9","16.0","2:00","199","0:59","8:07"
"19","0:14.1","8:53.9","0.09","2:31","136","137","0","0","173","2.29","2","16.0","2:06","201","0:14","2:30"
"20","2:27.8","11:22","0.16","15:46","123","156","1","2","58","1.09","16","16.0","2:06","203","1:27","9:17"
"Summary","11:22","11:22","2.20","5:10","127","161","17","19","132","1.39","80","16.9","2:00","203","10:18","4:41"
