"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.32","3:05","131","153","1","1","159","2.03","9","18.0","2:44","191","1:00","3:05"
"","","Rest","2","1:30","2:30","0.27","5:35","142","157","1","1","144","1.24","19","17.0","2:51","180","1:29","5:31"
"","2","Run","3","1:00","3:30","0.32","3:10","148","162","0","0","178","1.77","13","17.0","2:42","183","1:00","3:10"
"","","Rest","4","1:30","5:00","0.28","5:26","145","163","0","0","155","1.19","20","17.0","3:46","181","1:29","5:23"
"","3","Run","5","1:00","6:00","0.36","2:47","151","168","0","0","179","2.01","13","17.0","2:26","185","1:00","2:47"
"","","Rest","6","1:30","7:30","0.20","7:34","146","168","0","0","125","1.06","20","16.0","2:45","177","1:30","7:34"
"","4","Run","7","1:00","8:30","0.34","2:58","150","166","2","1","176","1.91","13","16.0","2:41","183","1:00","2:58"
"","","Rest","8","1:30","10:00","0.27","5:38","150","167","1","1","128","1.39","20","16.0","2:53","175","1:30","5:38"
"","5","Run","9","1:00","11:00","0.32","3:06","152","167","1","2","168","1.93","14","16.0","2:43","186","1:00","3:06"
"","","Rest","10","1:30","12:30","0.28","5:27","149","168","0","0","140","1.31","20","16.0","3:53","231","1:29","5:24"
"","6","Run","11","1:00","13:30","0.34","2:56","152","167","0","0","176","1.94","13","16.0","2:31","183","1:00","2:56"
"","","Rest","12","1:30","15:00","0.21","7:14","143","168","2","0","135","1.02","20","16.0","3:08","175","1:30","7:14"
"","7","Run","13","2:55.7","17:56","0.18","16:19","115","131","1","4","56","1.10","14","16.0","5:07","163","1:43","9:34"
"","Summary","--","--","17:56","17:56","3.67","4:53","141","168","10","11","136","1.43","208","16.4","2:26","231","16:40","4:32"
