"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:19.1","4:19.1","1.00","4:19","131","139","4","3","161","1.44","37","20.0","3:59","173","4:19","4:19"
"2","4:10.3","8:29.3","1.00","4:10","141","148","6","1","161","1.49","38","12.0","4:02","165","4:10","4:10"
"3","4:09.9","12:39","1.00","4:10","140","145","7","1","160","1.50","37","8.0","3:44","167","4:09.9","4:10"
"4","4:05.9","16:45","1.00","4:06","142","145","5","1","160","1.53","35","7.0","3:59","165","4:05.9","4:06"
"5","3:55.0","20:40","1.00","3:55","139","147","1","5","160","1.60","33","7.0","3:42","165","3:55","3:55"
"6","3:58.3","24:38","1.00","3:58","143","151","2","7","161","1.57","34","7.0","3:46","167","3:58","3:58"
"7","3:49.7","28:28","1.00","3:50","150","152","3","5","162","1.61","39","5.0","3:35","167","3:49.7","3:50"
"8","3:57.2","32:25","1.00","3:57","147","150","2","2","159","1.59","37","5.0","3:33","165","3:57","3:57"
"9","0:03.4","32:29","0.02","2:37","148","149","0","0","162","2.35","0","5.0","3:38","163","0:03","2:21"
"Summary","32:29","32:29","8.02","4:03","141","152","29","24","160","1.54","290","9.0","3:33","173","32:27","4:03"
