"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:19.8","4:19.8","1.00","4:20","122","132","0","2","162","1.43","43","27.0","4:03","171","4:19.8","4:20"
"2","4:14.2","8:34.0","1.00","4:14","133","136","4","2","161","1.47","49","25.0","3:51","170","4:14","4:14"
"3","4:08.8","12:43","1.00","4:09","135","138","2","0","161","1.50","47","24.0","3:51","167","4:08.8","4:09"
"4","4:11.2","16:54","1.00","4:11","136","138","1","0","159","1.50","45","24.0","4:07","163","4:11","4:11"
"5","4:14.0","21:08","1.00","4:14","131","137","0","0","157","1.50","41","25.0","4:01","167","4:14","4:14"
"6","4:14.1","25:22","1.00","4:14","135","140","2","1","159","1.49","42","24.0","3:52","163","4:14","4:14"
"7","4:10.4","29:32","1.00","4:10","134","138","0","2","159","1.50","40","24.0","4:00","163","4:10","4:10"
"8","4:08.2","33:41","1.00","4:08","135","139","1","1","160","1.51","39","24.0","4:01","167","4:08.2","4:08"
"9","2:45.8","36:27","0.72","3:50","139","143","0","0","162","1.61","28","24.0","3:42","167","2:45","3:49"
"10","0:08.2","36:35","0.02","7:03","139","140","0","0","161","0.88","1","24.0","3:43","161","0:08.2","7:03"
"Summary","36:35","36:35","8.74","4:11","133","143","11","9","160","1.49","375","24.6","3:42","171","36:33","4:11"
