"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:24.1","3:24.1","1.00","3:24","154","166","3","1","159","1.84","38","21.0","2:53","174","3:24.1","3:24"
"2","3:41.3","7:05.4","1.00","3:41","163","165","1","1","159","1.71","46","20.0","3:26","161","3:41","3:41"
"3","3:33.7","10:39","1.00","3:34","165","169","3","5","160","1.76","44","19.0","3:28","165","3:33.7","3:34"
"4","3:26.4","14:06","1.00","3:26","171","175","3","1","161","1.81","44","18.0","3:09","169","3:26","3:26"
"5","3:28.9","17:34","1.00","3:29","174","176","0","1","160","1.80","45","18.0","3:21","163","3:28.9","3:29"
"6","3:29.9","21:04","1.00","3:30","173","175","1","1","159","1.79","45","19.0","3:18","165","3:29.9","3:30"
"7","3:30.3","24:35","1.00","3:30","172","174","1","1","160","1.79","44","20.0","3:12","165","3:30","3:30"
"8","3:30.4","28:05","1.00","3:30","172","174","4","4","160","1.78","44","21.0","3:13","165","3:30.4","3:30"
"9","3:27.2","31:32","1.00","3:27","173","174","0","1","160","1.81","44","22.0","3:15","163","3:27","3:27"
"10","3:25.3","34:58","1.00","3:25","173","175","0","1","161","1.82","43","22.0","3:17","163","3:25","3:25"
"11","0:02.6","35:00","0.02","2:40","172","172","0","0","161","2.33","0","23.0","3:23","161","0:02","2:01"
"Summary","35:00","35:00","10.02","3:30","169","176","16","18","160","1.79","437","20.0","2:53","174","34:58","3:29"
