"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","3:02.7","3:02.7","1.00","3:03","155","170","0","7","171","1.92","33","12.0","2:43","230","3:02.7","3:03"
"","","Rest","2","3:00","6:02.7","0.62","4:48","143","169","0","1","156","1.34","28","12.0","3:01","169","3:00","4:48"
"","2","Run","3","3:11.0","9:13.7","1.00","3:11","164","173","3","0","168","1.87","38","11.0","2:46","174","3:11.0","3:11"
"","","Rest","4","3:00","12:14","0.62","4:52","143","173","2","0","151","1.36","27","11.0","3:23","169","3:00","4:52"
"","3","Run","5","3:02.8","15:16","1.00","3:03","162","172","2","4","169","1.94","35","11.0","2:44","174","3:02.8","3:03"
"","","Rest","6","3:00","18:16","0.56","5:24","141","171","0","1","151","1.23","23","11.0","2:47","172","3:00","5:24"
"","4","Run","7","3:02.1","21:19","1.00","3:02","164","175","1","1","169","1.95","35","10.0","2:49","172","3:02","3:02"
"","","Rest","8","3:00","24:19","0.53","5:39","141","172","1","0","147","1.20","22","10.0","2:46","171","3:00","5:39"
"","5","Run","9","3:05.3","27:24","1.00","3:05","161","172","1","1","168","1.92","34","10.0","2:39","174","3:05.3","3:05"
"","","Rest","10","3:00","30:24","0.49","6:05","139","171","1","0","146","1.13","20","10.0","2:39","245","3:00","6:05"
"","6","Run","11 - 12","0:04.7","30:29","0.02","3:16","130","131","0","0","159","1.92","0","10.0","4:38","161","0:02.8","1:58"
"","Summary","--","--","30:29","30:29","7.85","3:53","151","175","12","16","160","1.59","295","10.8","2:39","245","30:27","3:53"
