"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","3:00","3:00","0.87","3:27","159","170","3","2","167","1.73","34","17.0","2:59","185","2:58","3:25"
"","","Rest","2","1:30","4:30","0.28","5:20","149","168","0","6","140","1.34","16","16.0","3:29","169","1:30","5:20"
"","2","Run","3","3:00","7:30","0.97","3:05","164","173","1","16","172","1.89","36","15.0","2:47","180","3:00","3:05"
"","","Rest","4","1:30","9:00","0.26","5:49","153","173","0","2","133","1.29","16","14.0","2:48","247","1:30","5:49"
"","3","Run","5","3:00","12:00","0.90","3:20","171","177","18","0","167","1.80","37","14.0","2:55","182","3:00","3:20"
"","","Rest","6","1:30","13:30","0.26","5:46","157","175","2","0","145","1.20","16","14.0","3:18","233","1:28","5:38"
"","4","Run","7","3:00","16:30","0.99","3:01","167","175","1","23","171","1.94","37","14.0","2:50","175","3:00","3:01"
"","","Rest","8","1:30","18:00","0.24","6:15","154","171","1","1","134","1.20","15","13.0","3:00","172","1:30","6:15"
"","5","Run","9","3:00","21:00","0.89","3:23","171","178","25","0","169","1.75","37","13.0","3:00","175","3:00","3:23"
"","","Rest","10","1:30","22:30","0.24","6:20","157","177","0","3","114","1.39","16","13.0","3:26","167","1:18","5:29"
"","6","Run","11","3:00","25:30","1.01","2:59","167","174","0","14","170","1.97","36","13.0","2:46","175","3:00","2:59"
"","","Rest","12","1:30","27:00","0.29","5:14","160","173","1","5","150","1.27","16","13.0","2:54","174","1:30","5:14"
"","7","Run","13","3:00","30:00","0.93","3:14","172","178","13","1","169","1.83","37","13.0","2:39","174","3:00","3:14"
"","","Rest","14","1:30","31:30","0.22","6:50","160","176","7","0","121","1.21","15","13.0","3:03","171","1:19","6:00"
"","8","Run","15","3:00","34:30","0.90","3:21","171","177","7","1","169","1.76","37","13.0","3:02","174","3:00","3:21"
"","","Rest","16","1:30","36:00","0.10","15:30","154","176","0","2","42","1.53","13","13.0","3:03","174","0:20","3:27"
"","9","Run","17","1:15.5","37:15","0.02","0","123","129","0","0","0","--","2","14.0","0","0","0","--"
"","Summary","--","--","37:15","37:15","9.35","3:59","162","178","79","77","154","1.66","416","13.9","2:39","247","34:23","3:41"
