"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:11.3","4:11.3","1.00","4:11","119","133","0","19","153","1.56","31","21.0","3:35","172","4:09","4:09"
"2","4:20.8","8:32.1","1.00","4:21","139","144","22","1","155","1.48","42","17.0","3:42","160","4:20.8","4:21"
"3","3:49.6","12:22","1.00","3:50","137","143","0","33","157","1.67","34","15.0","3:32","161","3:49","3:49"
"4","4:04.6","16:26","1.00","4:05","136","146","0","4","158","1.56","34","14.0","3:41","226","4:04.6","4:05"
"5","3:53.5","20:20","1.00","3:53","145","148","0","1","155","1.65","38","14.0","3:40","161","3:53.5","3:53"
"6","4:20.5","24:40","1.00","4:21","140","150","22","1","154","1.49","38","14.0","3:48","161","4:20","4:20"
"7","4:05.4","28:46","1.00","4:05","148","153","12","0","155","1.57","41","13.0","3:37","160","4:05","4:05"
"8","4:25.2","33:11","1.00","4:25","140","149","17","1","156","1.45","35","13.0","3:40","163","4:25.2","4:25"
"9","0:03.8","33:15","0.02","3:13","144","144","0","0","155","2.01","0","12.0","3:59","155","0:03","2:34"
"Summary","33:15","33:15","8.02","4:09","138","153","73","60","155","1.55","293","15.1","3:32","226","33:10","4:08"
