"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:09.5","5:09.5","1.00","5:10","141","153","37","3","161","1.21","51","20.0","4:10","170","5:09.5","5:10"
"2","4:11.9","9:21.4","1.00","4:12","142","155","5","20","160","1.49","41","14.0","3:39","167","4:11.9","4:12"
"3","4:36.5","13:58","1.00","4:36","146","156","22","6","158","1.38","47","12.0","4:16","161","4:36.5","4:36"
"4","4:02.4","18:00","1.00","4:02","136","152","1","32","160","1.54","32","10.0","3:37","167","4:02","4:02"
"5","4:13.0","22:13","1.00","4:13","141","146","0","7","158","1.50","35","8.0","3:37","163","4:13.0","4:13"
"6","4:27.3","26:41","1.00","4:27","143","148","3","5","157","1.43","39","8.0","4:13","163","4:27","4:27"
"7","4:21.4","31:02","1.00","4:21","143","146","2","1","156","1.47","38","7.0","4:11","159","4:21.4","4:21"
"8","4:20.2","35:22","1.00","4:20","143","147","0","0","156","1.48","36","7.0","4:12","160","4:20","4:20"
"9","4:21.3","39:43","1.00","4:21","144","147","1","1","157","1.47","37","6.0","4:12","160","4:21","4:21"
"10","4:23.3","44:07","1.00","4:23","145","151","6","3","160","1.43","38","6.0","4:17","167","4:23","4:23"
"11","4:14.7","48:21","1.00","4:15","135","144","1","7","156","1.51","23","7.0","3:53","167","4:14.7","4:15"
"12","4:10.0","52:31","1.00","4:10","140","146","1","0","158","1.52","28","8.0","3:51","163","4:10.0","4:10"
"13","4:08.9","56:40","1.00","4:09","141","145","1","1","156","1.54","29","7.0","3:48","160","4:08.9","4:09"
"14","4:09.6","1:00:50","1.00","4:10","143","147","0","2","157","1.53","30","7.0","4:03","161","4:09","4:09"
"15","4:17.3","1:05:07","1.00","4:17","143","147","4","4","157","1.48","31","7.0","3:52","161","4:17","4:17"
"16","4:10.9","1:09:18","1.00","4:11","141","147","0","0","156","1.53","27","7.0","3:59","160","4:10.9","4:11"
"17","4:08.7","1:13:27","1.00","4:09","144","147","1","1","156","1.54","29","7.0","3:52","160","4:08.7","4:09"
"18","4:37.1","1:18:04","1.00","4:37","147","156","23","0","155","1.40","37","8.0","4:03","165","4:35","4:35"
"19","4:12.1","1:22:16","1.00","4:12","147","152","11","6","158","1.50","33","8.0","3:49","165","4:12","4:12"
"20","3:59.8","1:26:16","1.00","4:00","143","149","3","24","160","1.56","23","8.0","3:36","165","3:59.8","4:00"
"21","0:04.4","1:26:20","0.02","3:17","146","147","0","0","160","1.91","0","8.0","3:45","161","0:03","2:13"
"Summary","1:26:20","1:26:20","20.02","4:19","143","156","123","124","158","1.47","684","8.7","3:36","170","1:26:14","4:18"
