"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:08.9","4:08.9","1.00","4:09","114","137","1","19","157","1.53","24","16.0","3:23","175","4:08.9","4:09"
"2","4:17.2","8:26.1","1.00","4:17","135","140","13","0","160","1.46","37","12.0","3:42","171","4:17","4:17"
"3","4:04.2","12:30","1.00","4:04","138","143","5","2","160","1.54","35","11.0","3:53","165","4:04.2","4:04"
"4","4:02.9","16:33","1.00","4:03","137","147","8","17","160","1.54","33","9.0","3:42","165","4:02","4:02"
"5","4:06.1","20:39","1.00","4:06","140","144","7","1","160","1.52","33","9.0","3:49","167","4:06.1","4:06"
"6","3:57.5","24:37","1.00","3:58","142","148","6","16","160","1.58","32","9.0","3:41","165","3:57","3:57"
"7","4:06.2","28:43","1.00","4:06","142","149","13","4","159","1.53","34","8.0","3:37","165","4:06","4:06"
"8","4:05.0","32:48","1.00","4:05","143","149","2","1","160","1.53","34","8.0","3:50","167","4:05","4:05"
"9","1:22.4","34:10","0.34","4:05","147","149","3","0","160","1.53","12","8.0","3:51","165","1:22","4:04"
"Summary","34:10","34:10","8.34","4:06","137","149","58","60","159","1.53","274","10.2","3:23","175","34:08","4:06"
