"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:58.2","3:58.2","1.00","3:58","116","133","1","1","156","1.61","28","27.0","3:37","169","3:58.2","3:58"
"2","3:59.2","7:57.5","1.00","3:59","134","146","1","2","158","1.59","38","26.0","3:39","165","3:59","3:59"
"3","3:53.5","11:51","1.00","3:53","144","150","2","0","157","1.63","42","25.0","3:42","161","3:53.5","3:53"
"4","3:55.3","15:46","1.00","3:55","147","151","0","1","157","1.62","43","25.0","3:37","163","3:55","3:55"
"5","3:52.8","19:39","1.00","3:53","150","159","1","1","157","1.64","44","25.0","3:29","165","3:52.8","3:53"
"6","3:58.3","23:37","1.00","3:58","141","156","1","1","158","1.60","37","27.0","3:39","213","3:58","3:58"
"7","3:48.7","27:26","1.00","3:49","149","155","3","2","158","1.66","41","25.0","3:39","161","3:48.7","3:49"
"8","3:56.2","31:22","1.00","3:56","151","156","1","3","157","1.62","43","25.0","3:47","161","3:56","3:56"
"9","3:47.7","35:10","1.00","3:48","152","157","2","0","158","1.67","42","25.0","3:41","161","3:47.7","3:48"
"10","3:33.4","38:43","1.00","3:33","159","164","0","0","161","1.75","44","26.0","3:16","167","3:33","3:33"
"11","0:03.0","38:46","0.02","2:52","161","162","0","0","167","2.09","0","26.0","3:15","167","0:02","1:53"
"Summary","38:46","38:46","10.02","3:52","144","164","13","12","158","1.64","402","25.6","3:15","213","38:44","3:52"
