"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:15.7","4:15.7","1.00","4:16","145","154","8","0","155","1.52","50","25.0","3:19","171","4:15.7","4:16"
"2","3:56.7","8:12.4","1.00","3:57","157","164","2","1","157","1.61","52","22.0","3:25","161","3:56","3:56"
"3","4:11.2","12:24","1.00","4:11","159","164","12","1","156","1.53","57","23.0","3:54","159","4:11.2","4:11"
"4","4:14.0","16:38","1.00","4:14","166","179","12","1","157","1.51","59","23.0","3:47","161","4:14","4:14"
"5","4:00.1","20:38","1.00","4:00","165","179","0","12","157","1.59","54","23.0","3:35","163","4:00","4:00"
"6","3:43.2","24:21","1.00","3:43","139","156","0","15","158","1.70","29","23.0","3:19","165","3:43","3:43"
"7","3:56.8","28:18","1.00","3:57","139","145","0","5","157","1.62","31","22.0","3:23","161","3:56.8","3:57"
"8","3:40.1","31:58","1.00","3:40","143","149","0","2","159","1.71","32","23.0","3:32","163","3:40","3:40"
"9","2:12.8","34:11","0.64","3:26","148","151","1","1","161","1.81","22","22.0","3:13","169","2:12","3:25"
"Summary","34:11","34:11","8.64","3:57","152","179","35","38","157","1.61","386","23.0","3:13","171","34:09","3:57"
