"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:47.4","4:47.4","1.00","4:47","118","131","5","6","160","1.30","34","19.0","4:13","170","4:47.4","4:47"
"2","4:25.9","9:13.3","1.00","4:26","132","140","3","1","162","1.39","38","13.0","3:49","169","4:25.9","4:26"
"3","4:13.8","13:27","1.00","4:14","132","142","2","3","161","1.47","35","10.0","3:38","165","4:13","4:13"
"4","4:06.8","17:34","1.00","4:07","128","144","4","1","161","1.51","30","9.0","3:40","165","4:06.8","4:07"
"5","4:06.6","21:40","1.00","4:07","139","161","0","1","160","1.52","33","8.0","3:42","163","4:06.6","4:07"
"6","4:16.7","25:57","1.00","4:17","135","140","1","1","161","1.46","34","7.0","4:03","167","4:16","4:16"
"7","4:13.0","30:10","1.00","4:13","103","137","2","1","160","1.48","13","7.0","4:08","169","4:13","4:13"
"8","4:17.1","34:27","1.00","4:17","115","130","3","0","160","1.46","18","6.0","4:12","165","4:17","4:17"
"9","4:15.7","38:43","1.00","4:16","98","161","4","4","160","1.47","14","6.0","4:12","163","4:15.7","4:16"
"10","4:14.8","42:58","1.00","4:15","148","163","3","3","159","1.48","43","5.0","4:08","165","4:14","4:14"
"11","4:28.7","47:26","1.00","4:29","150","165","2","4","160","1.40","46","5.0","4:20","165","4:28.7","4:29"
"12","4:22.7","51:49","1.00","4:23","157","165","7","3","160","1.42","50","5.0","3:50","169","4:22.7","4:23"
"13","0:03.7","51:53","0.02","3:16","144","144","0","0","160","1.91","0","5.0","3:39","160","0:02","1:45"
"Summary","51:53","51:53","12.02","4:19","130","165","38","28","160","1.44","388","8.4","3:38","170","51:49","4:19"
