"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.29","3:29","142","162","4","0","175","1.64","11","23.0","3:20","238","1:00","3:29"
"","","Rest","2","1:30","2:30","0.25","6:06","147","164","3","0","146","1.12","19","23.0","3:12","174","1:30","6:06"
"","2","Run","3","1:00","3:30","0.33","3:00","156","173","5","0","176","1.89","13","23.0","2:51","183","1:00","3:00"
"","","Rest","4","1:30","5:00","0.31","4:50","161","174","3","0","157","1.32","22","22.0","2:53","177","1:30","4:50"
"","3","Run","5","1:00","6:00","0.34","2:57","161","174","2","0","174","1.95","14","22.0","2:39","180","1:00","2:57"
"","","Rest","6","1:30","7:30","0.31","4:51","164","175","3","0","159","1.30","22","22.0","2:46","175","1:30","4:51"
"","4","Run","7","1:00","8:30","0.34","2:57","164","175","4","0","174","1.95","14","22.0","2:47","177","1:00","2:57"
"","","Rest","8","1:30","10:00","0.32","4:45","167","178","3","0","160","1.32","22","21.0","2:52","175","1:30","4:45"
"","5","Run","9","1:00","11:00","0.34","2:56","165","174","4","0","174","1.96","14","21.0","2:36","177","1:00","2:56"
"","","Rest","10","1:30","12:30","0.31","4:46","165","176","4","2","155","1.36","22","21.0","3:00","175","1:30","4:46"
"","6","Run","11","1:00","13:30","0.33","3:03","164","174","6","0","173","1.90","14","21.0","2:53","177","1:00","3:03"
"","","Rest","12","1:30","15:00","0.15","10:17","155","177","3","0","99","0.98","19","22.0","2:53","175","1:30","10:17"
"","7","Run","13","4:36.5","19:36","0.87","5:17","137","150","15","8","149","1.27","37","23.0","4:37","169","4:31","5:11"
"","Summary","--","--","19:36","19:36","4.48","4:23","154","178","60","9","155","1.44","243","22.2","2:36","238","19:31","4:21"
