"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:55.5","4:55.5","1.00","4:56","134","151","6","4","162","1.25","45","19.0","4:05","172","4:55.5","4:55"
"2","4:22.2","9:17.7","1.00","4:22","144","152","3","0","161","1.42","45","15.0","4:06","167","4:22","4:22"
"3","4:03.5","13:21","1.00","4:03","148","156","2","2","160","1.54","43","13.0","3:41","165","4:03.5","4:03"
"4","4:08.7","17:30","1.00","4:09","155","162","4","2","160","1.51","48","12.0","4:14","163","4:08","4:08"
"5","4:13.3","21:43","1.00","4:13","159","167","1","3","160","1.48","50","11.0","3:34","163","4:13.3","4:13"
"6","4:21.6","26:05","1.00","4:22","161","164","5","0","160","1.43","52","10.0","3:51","169","4:21","4:21"
"7","4:08.8","30:14","1.00","4:09","160","164","7","4","160","1.51","49","10.0","4:02","165","4:08.8","4:09"
"8","4:07.4","34:21","1.00","4:07","159","163","5","5","161","1.51","47","9.0","3:43","167","4:07","4:07"
"9","4:09.8","38:31","1.00","4:10","155","162","8","4","160","1.50","43","9.0","4:08","163","4:09.8","4:10"
"10","3:54.0","42:25","1.00","3:54","156","160","3","5","161","1.59","41","8.0","3:38","167","3:54","3:54"
"11","4:26.4","46:51","1.00","4:26","156","163","5","2","156","1.44","45","10.0","3:40","174","4:20","4:20"
"12","3:51.2","50:43","1.00","3:51","160","165","3","6","164","1.59","43","9.0","3:43","169","3:51","3:51"
"13","3:50.6","54:33","1.00","3:51","162","166","6","5","159","1.63","44","9.0","3:31","171","3:50","3:50"
"14","3:55.1","58:28","1.00","3:55","162","166","1","3","161","1.59","44","9.0","3:37","165","3:55.1","3:55"
"15","3:47.4","1:02:16","1.00","3:47","161","169","0","7","161","1.64","42","9.0","3:36","165","3:47","3:47"
"16","3:55.9","1:06:11","1.00","3:56","162","166","2","0","161","1.58","44","9.0","3:54","165","3:55.9","3:56"
"17","3:48.5","1:10:00","1.00","3:48","161","164","1","1","162","1.62","40","9.0","3:35","169","3:48","3:48"
"18","3:50.7","1:13:51","1.00","3:51","160","164","2","2","162","1.61","39","9.0","3:41","167","3:50.7","3:51"
"19","3:43.0","1:17:34","1.00","3:43","158","164","0","3","163","1.65","35","9.0","3:24","169","3:43","3:43"
"20","3:58.6","1:21:32","1.00","3:59","159","164","1","1","162","1.55","38","9.0","3:34","167","3:58.6","3:59"
"21","0:58.5","1:22:31","0.07","14:35","149","160","0","1","42","1.63","5","9.0","4:05","166","0:26","6:29"
"Summary","1:22:31","1:22:31","20.07","4:07","156","169","66","62","159","1.53","882","10.5","3:24","174","1:21:48","4:05"
