"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:59.9","3:59.9","1.00","4:00","125","133","0","1","159","1.57","32","20.0","3:23","172","3:59.9","4:00"
"2","3:51.8","7:51.7","1.00","3:52","136","140","2","0","161","1.61","35","18.0","3:40","165","3:51.8","3:52"
"3","3:43.3","11:35","1.00","3:43","141","144","3","1","162","1.66","35","16.0","3:27","165","3:43","3:43"
"4","3:49.7","15:25","1.00","3:50","146","151","5","1","163","1.61","38","15.0","3:39","167","3:49","3:49"
"5","3:18.6","18:43","1.00","3:19","155","159","5","1","165","1.83","38","13.0","2:56","172","3:18.6","3:19"
"6","3:30.7","22:14","1.00","3:31","159","165","14","2","165","1.73","42","13.0","3:13","167","3:30.7","3:31"
"7","3:27.9","25:42","1.00","3:28","166","168","12","2","165","1.75","43","12.0","3:04","172","3:27.9","3:28"
"8","3:17.6","28:59","1.00","3:18","164","167","1","10","165","1.84","40","12.0","3:12","170","3:17","3:17"
"9","3:17.7","32:17","1.00","3:18","158","165","0","16","165","1.84","36","12.0","3:12","170","3:17.7","3:18"
"10","3:20.8","35:38","1.00","3:21","164","167","0","7","165","1.81","40","12.0","3:12","169","3:20.8","3:21"
"11","3:17.1","38:55","1.00","3:17","165","167","5","6","165","1.84","40","11.0","3:10","169","3:17","3:17"
"12","3:19.6","42:15","1.00","3:20","165","167","2","2","165","1.82","40","12.0","3:18","167","3:19.6","3:20"
"13","0:02.0","42:17","0.01","2:22","166","166","0","0","165","2.56","0","12.0","3:20","165","0:01","1:10"
"Summary","42:17","42:17","12.01","3:31","153","168","51","49","164","1.74","459","14.0","2:56","172","42:14","3:31"
