"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:10.3","4:10.3","1.00","4:10","115","137","0","21","161","1.49","30","20.0","3:54","174","4:05","4:05"
"2","4:04.8","8:15.1","1.00","4:05","142","147","21","2","160","1.53","42","15.0","3:52","165","4:04.8","4:05"
"3","3:51.0","12:06","1.00","3:51","133","146","0","15","158","1.64","32","14.0","3:34","176","3:49","3:49"
"4","3:56.5","16:03","1.00","3:57","137","145","0","5","154","1.65","33","14.0","3:34","171","3:55","3:55"
"5","3:59.1","20:02","1.00","3:59","135","146","1","8","161","1.55","31","13.0","3:52","167","3:59","3:59"
"6","4:02.8","24:05","1.00","4:03","142","146","1","5","161","1.54","35","11.0","3:34","169","4:02.8","4:03"
"7","3:56.4","28:01","1.00","3:56","143","147","1","0","157","1.61","35","11.0","3:45","161","3:56","3:56"
"8","3:53.8","31:55","1.00","3:54","145","149","2","2","158","1.63","37","11.0","3:45","161","3:53.8","3:54"
"9","3:54.4","35:49","1.00","3:54","146","150","3","1","158","1.62","36","11.0","3:38","165","3:54","3:54"
"10","4:00.5","39:50","1.00","4:00","145","149","10","1","155","1.61","36","11.0","3:50","167","4:00","4:00"
"11","3:59.6","43:49","1.00","4:00","133","145","2","7","159","1.58","24","12.0","3:41","169","3:59.6","4:00"
"12","3:52.2","47:41","1.00","3:52","143","147","1","6","159","1.63","30","11.0","3:42","165","3:52","3:52"
"13","3:50.8","51:32","1.00","3:51","146","148","1","0","157","1.65","33","10.0","3:46","161","3:50.8","3:51"
"14","3:51.6","55:24","1.00","3:52","149","154","0","1","158","1.64","36","10.0","3:41","163","3:51","3:51"
"15","3:57.9","59:22","1.00","3:58","150","154","5","4","160","1.58","38","10.0","3:44","168","3:57.9","3:58"
"16","3:52.3","1:03:14","1.00","3:52","148","151","0","0","157","1.64","35","10.0","3:41","161","3:52.3","3:52"
"17","3:47.0","1:07:01","1.00","3:47","148","151","2","3","159","1.66","32","10.0","3:27","163","3:47","3:47"
"18","3:57.0","1:10:58","1.00","3:57","153","157","18","1","159","1.59","39","10.0","3:36","163","3:57.0","3:57"
"19","3:57.0","1:14:55","1.00","3:57","152","156","15","0","162","1.56","37","9.0","3:43","173","3:57","3:57"
"20","3:45.5","1:18:40","1.00","3:45","150","158","6","4","160","1.67","32","10.0","3:36","167","3:45","3:45"
"21","1:49.0","1:20:29","0.46","4:00","153","156","8","0","160","1.56","17","10.0","3:43","165","1:48","3:57"
"Summary","1:20:29","1:20:29","20.46","3:56","143","158","97","86","159","1.60","700","11.7","3:27","176","1:20:17","3:55"
